SMILES	AATS7se	AATSC2dv	GATS2se	BELpe-1	HATS0u	HATS5v	HATS0s	R1m+	F02[N-O]	F03[C-N]	B03[O-O]	F04[N-N]	B07[N-F]	EState_VSA8	SaasC
CNC(=O)CSP(=S)(OC)OC	8.62548128	-0.39907143610847307	1.1381203031430227	2.07	0.492	0.131	1.855	0.249	1	0	0	0	0	5.316788604006331	0.0
CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1	7.312014640449437	-0.023731252541142406	1.4200526228371604	2.22	0.206	0.08	0.461	0.116	0	0	0	0	0	77.69631455238981	4.456299930334174
Clc1ccc(Cl)c(Cl)c1		-0.8775720164609057	0.7180149684653648	2.24	0.47	0.135	5.233	0.243	0	0	0	0	0	0.0	1.6200308641975323
CCCCCCCS	6.989350952380952	-0.19103303346412734	1.1675429851319215	2.36	0.475	0.081	0.721	0.147	0	0	0	0	0	19.552526347703616	0.0
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl	8.398535836734695	0.13036938766596798	0.7479530073199794	2.24	0.37	0.196	5.306	0.209	1	3	0	0	0	5.316788604006331	0.16922162383471995
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)SCF	7.899542601092896	0.12658025831309924	0.6880424142189855	2.25	0.2	0.178	2.067	0.112	0	0	1	0	0	0.0	0.0
COc1ccc(CCNCCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC	7.434861556756757	0.22540983606557377	1.3981955713082166	2.24	0.186	0.087	0.512	0.073	0	5	1	0	0	31.299851384641464	4.963481287309165
O=C1Nc2c(O)cc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1	8.729099384615385	1.9863775925517169	0.4430923265235002	2.21	0.376	0.316	7.768	0.216	2	3	0	0	0	16.577731591511338	-1.639199263038548
C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1	8.058246032085561	0.8401484123838467	0.5521929231957958	2.23	0.201	0.115	4.237	0.093	2	3	0	1	0	15.181342137549283	-3.00158761232996
CN1[C@H]2CC[C@@H]1CC(OC(c1ccccc1)c1ccccc1)C2	7.153706447761193	-0.21590573286051998	1.5471923977232538	2.24	0.264	0.07	0.438	0.063	0	1	0	0	0	72.61125239814378	2.5092129629629634
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1	7.500534833333333	0.23864030523759952	0.340334975679484	2.24	0.382	0.246	3.214	0.142	3	6	0	0	0	10.633577208012662	1.4806481481481488
CCC1O[C@@]2(C)OCCC1O2	6.718464	1.0092862745098043	0.9758375660604687	2.36	0.453	0.147	0.757	0.09	0	0	0	0	0	6.923737199690624	0.0
CN(C)c1cn(C)n(-c2ccccc2)c1=O	7.076267578947367	0.5869079276987703	1.079812545630254	2.25	0.385	0.135	0.832	0.064	1	4	0	0	0	0.0	1.5643083900226762
COc1cc(O)c2c(=O)c3cc(OC)ccc3oc2c1	8.037262695652174	0.19140625	1.1407363968048438	2.2	0.578	0.094	1.684	0.082	0	0	0	0	0	0.0	0.8064657869320577
CCC(C)C(N)C(=O)NC(CCC(=O)O)C(=O)[O-]	7.846390424242424	0.8879656683710735	0.3965627793667995	2.34	0.322	0.148	4.992	0.113	1	4	0	0	0	5.316788604006331	0.0
CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C=O)CC21	7.643464939130434	0.4436551643330011	0.72239188721193	2.23	0.221	0.104	1.191	0.103	0	0	0	0	0	26.83757866753348	3.165253501091795
COC(OC)[C@]1(C)Oc2ccc(N)cc2[C@@H](N(Cc2nnn(C)n2)c2ccc(Cl)cc2)[C@@H]1O	7.852182809090908	0.12250399567083226	1.1764254886013068	2.24	0.215	0.072	0.946	0.19	0	10	1	2	0	15.410748712256943	3.6844619565912122
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1	7.43402161832061	0.8708101259508665	1.0786777776376997	2.22	0.203	0.09	0.407	0.34	0	0	0	0	0	70.85286258405846	4.927256587125746
