idx_together;idx_separated;SMILES;Index;Binary_Characterization;ID;subset;COMPOUND_KEY;Characterization
1599;1599;CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC;1600;0;O1[C@H](CC)[C@H](\C=C(\C=C\C(=O)[C@@H](C[C@H](CC=O)[C@H](O[C@@H]2O[C@H](C)[C@@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@](O)(C3)C)[C@H](N(C)C)[C@H]2O)[C@@H](C)[C@H](O)CC1=O)C)/C)CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC;training;;
1600;1600;NCCc1ccc(O)cc1;1601;0;Oc1ccc(cc1)CCN;training;;
1601;1601;CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O;1602;0;Oc1ccc(cc1)C[C@H]1NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H]2N(CCC2)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC1=O)C(C)C)CCCN)CC(C)C)Cc1ccccc1)Cc1ccccc1)Cc1ccccc1)CC(O)=O)CCC(O)=O;training;;
1602;1602;CC(C)[C@H](NC(=O)[C@@H](Cc1ccc(O)cc1)NC(=O)[C@H](NC(=O)C(F)(F)F)C(C)C)C(=O)O;1603;0;FC(F)(F)C(=O)N[C@H](C(C)C)C(=O)N[C@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C(C)C)C(O)=O;training;;
1603;1603;COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O;1604;0;O(C)C=1C(=O)C(C\C=C(\CC\C=C(\CC\C=C(\CC\C=C(/CC\C=C(\CC\C=C(\CC\C=C(\CC\C=C(\CC\C=C(\CC\C=C(\C)/C)/C)/C)/C)/C)/C)\C)/C)/C)/C)=C(C)C(=O)C=1OC;training;;
1604;1604;O=c1ccc2ccc(O)cc2o1;1605;0;O1c2cc(O)ccc2C=CC1=O;training;;
1605;1605;NC(N)=O;1606;0;O=C(N)N;training;;
1606;1606;CCOC(N)=O;1607;0;O(CC)C(=O)N;training;;
1607;1607;COc1ccc(C(=O)CC(=O)O)c2c1C=CC(C)(C)O2;1608;0;O1c2c(C=CC1(C)C)c(OC)ccc2C(=O)CC(O)=O;training;;
1608;1608;C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C;1609;0;OC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1([C@@H](CCCC1)CC3)C;training;;
