SMILES	SLogP	GATS6s	PEOE_VSA6	GATS3se	VSA_EState5	EState_VSA3	ATSC3dv	ATSC8p	JGI10	JGI8	GATS1d	VSA_EState3	GATS4p	MCBO	AATSC0v	GATS8d	ATSC6se	GATS3d	GATS6Z	MINssCH2	observed	predicted
O=C(Nc1ccc(F)c(-c2nc3ncccc3o2)c1)c1cscn1	0.05	0.36	-1.47	0.86	-0.49	0.03	-0.17	0.37	-0.51	-0.67	-0.85	-0.59	-1.16	1.97	-3.22	-0.42	-0.64	-0.51	-0.49	-0.23	0	0
COc1ccc2[nH]c(SCc3ccc4ccccc4n3)nc2c1	0.53	0.59	0.59	1.36	0.97	-1.44	-1.13	-0.13	-0.9	-1.36	-1.43	-0.82	0.39	1.79	0.83	-0.55	-0.01	0.1	1.49	0.97	1	1
CC(C)OC(=O)C1=CN(C(=O)c2cccc(CN3CCCCC3)c2)CC(C)(C)c2c1[nH]c1ccccc21	1.58	1.17	1.43	0.24	-0.35	-0.29	1.45	0.13	0.39	-0.61	-0.25	-0.93	-1.52	-0.07	0.97	1.93	1.23	-1.01	0.25	0.22	1	1
CN1CCN(c2cccc3ccc(OCc4noc(-c5ccc(Cl)cc5)n4)cc23)CC1	0.86	0.25	0.53	0.08	1.05	-0.35	-0.09	0.81	-0.29	-0.92	-1.01	-0.29	0.78	0.73	0.54	-0.37	0.51	-0.12	-1.05	-0.24	1	1
CCCCN(CC(=O)NCc1ccccc1)C(=O)CCCCCn1ccnc1C=NO	-0.34	1.77	1.7	-0.5	0.29	0.2	-0.01	0.31	-0.76	-1.13	0.13	0.49	0.73	-1.09	-0.23	-0.57	-1.34	0.17	1.2	-0.53	1	1
O=C(NOCCO)c1cc(/C=N\OCCO)c(F)c(F)c1Nc1ccc(I)cc1F	-0.88	-0.15	-1.18	-0.36	-2.83	-1.21	1.44	0.71	-0.55	0.15	-0.43	1.4	-0.84	-1.16	0.08	1.45	1.98	-1.59	-2.3	-1.63	0	0
O=S(=O)(c1ccc(Cl)c(Cl)c1)N1CCN(c2ccccc2C(F)(F)F)CC1	0.61	0.43	0.55	-1.6	-0.01	-1.44	0.91	-1.29	0.44	1.9	1.62	-1.0	0.92	-0.44	-0.29	2.07	-1.03	1.05	-1.42	-0.62	1	1
CCS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c(-c3cccs3)nn(CCC(C)C)c1=O)N2	-0.45	0.39	-0.33	0.02	-0.47	-0.71	2.5	-0.7	0.89	0.31	0.75	1.07	-1.26	0.76	0.24	0.96	0.69	-1.53	-0.01	-1.17	0	0
CCN(C(=O)Nc1ccc(OC(F)(F)F)cc1)C1Cc2ccc(SC(C)(C)C(=O)O)cc2C1	1.36	-0.88	-1.13	-2.08	-0.79	0.19	-0.83	-0.72	0.9	1.37	1.69	0.23	0.09	-1.13	-0.17	-0.92	-0.67	-0.17	-0.26	0.24	0	0
COc1ccc(CN2CCCC[C@@H]2COc2ccc(C(=O)C=NO)cn2)cc1OC	-0.35	-1.61	-0.46	-0.73	0.91	-0.27	0.26	0.06	-0.13	-0.54	-0.75	0.14	1.22	-0.82	-0.33	0.67	1.05	1.16	-0.16	0.39	1	1
O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(N2CCN(Cc3ccc(F)cc3)CC2)cc1F	1.06	0.48	0.27	0.01	-1.26	0.15	-1.32	1.42	-0.69	-0.62	-0.31	-0.35	0.73	0.67	-0.15	0.73	0.34	0.45	0.1	-0.31	1	1
COCCNC(=O)c1cc(C(C)(C)C)sc1NC(=O)Nc1ccc2[nH]ncc2c1	0.2	0.51	-0.28	-0.05	-0.17	0.47	0.26	0.49	-0.06	0.56	0.13	0.72	3.28	-0.17	0.17	-0.15	0.35	-1.17	0.67	0.12	0	0
COc1cccc(CNC(=O)c2[nH]c3cc(-c4cn[nH]c4)ccc3c2CN2CCN(C)CC2)c1	-0.31	1.77	-0.08	-0.62	0.4	-0.65	-0.36	-0.41	-0.8	-0.21	-1.18	0.13	1.17	0.44	0.12	0.87	-0.38	0.3	0.48	0.19	1	1
Cc1ccc(CN2C(=O)C(C3=NS(=O)(=O)c4cc(NS(C)(=O)=O)ccc4N3)=C(O)[C@@H]3[C@H]4CC[C@H](C4)[C@@H]32)cc1F	-0.27	-0.01	-0.78	-0.37	-0.93	-0.72	-0.17	-0.52	0.92	1.53	0.95	0.47	-0.86	0.5	-0.07	0.21	0.67	-0.76	-0.4	-0.52	0	0
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(C1=C(O)[C@@H]3[C@H]4CC[C@H](C4)[C@@H]3N(Cc3ccc(F)c(Cl)c3)C1=O)N2	-0.03	0.04	-0.46	-0.55	-1.1	-1.08	-0.08	0.3	0.92	1.53	1.14	0.46	-1.16	0.5	-0.24	-0.12	0.5	-0.97	-0.92	-0.55	0	0
CC1(c2ccc(-c3ccc(C#N)cn3)cc2)COC1	-0.55	-1.75	0.32	-2.15	-0.01	-1.08	-0.38	-0.15	0.45	-1.17	-0.09	-0.12	0.04	1.17	0.68	-0.39	0.25	0.82	-1.34	1.0	0	0
O=C(CSc1nnnn1-c1ccc(C2CC2)cc1Cl)Nc1ccc(C(=O)O)cc1Cl	0.43	-0.73	0.88	-0.41	-0.53	0.34	-0.72	0.06	0.34	-1.52	-0.21	1.53	0.22	0.38	-1.01	0.17	-0.08	-0.72	3.29	-0.71	0	0
Cc1csc(C#Cc2cccnc2)n1	-1.02	0.96	-1.13	2.15	3.7	-1.44	-0.27	-0.32	-2.42	-0.59	-0.76	-0.74	2.52	2.0	0.98	-0.41	0.22	-1.9	3.98	1.09	0	0
COc1cccc2c(C(=O)N3CCN4CCC[C@H]4C3)cn(CC3CCCCC3)c12	0.34	1.75	0.33	-0.89	1.08	-0.66	1.16	-1.03	-0.5	-0.92	-0.82	-0.93	0.13	-0.7	0.72	0.71	0.54	0.14	0.48	1.11	1	1
CN(C)CCC(c1ccc2ccccc2c1)n1ncnn1	-0.93	-0.23	0.62	-0.6	-0.01	-1.44	-0.03	-0.32	1.86	0.24	-0.83	0.5	-0.2	0.65	0.16	-0.29	-0.07	-0.16	0.14	1.34	0	0
O=C(/C=C/c1ccc2c(c1)nc(CCc1ccccc1)n2CCN1CCCC1)NO	-0.17	-1.07	0.62	-1.0	0.33	-1.44	-0.37	-1.28	-1.7	-0.5	-0.61	-0.13	0.58	0.21	0.55	-0.08	-0.19	-0.04	-0.58	1.2	0	0
CC1CCCC(N(C)c2ncnc3[nH]ccc23)C1	-0.5	0.63	-0.34	-0.31	1.15	-1.05	0.67	-0.6	-2.42	-0.27	-0.54	-0.92	-0.49	-0.24	0.25	-0.46	-0.08	0.59	0.67	2.06	1	1
O=C(Nc1ccc(F)cc1F)N1CCC(N(CCc2ccc(Cl)cc2)C(=O)c2csc3ccccc23)CC1	2.54	-0.68	0.93	-0.26	-0.97	1.77	-0.5	-1.04	-0.18	-0.19	-0.28	-0.4	0.44	0.36	0.77	-0.81	-0.33	0.53	-0.06	0.15	1	1
Clc1cccc(CN(CC2CC2)[C@H]2CCNC2)c1Cl	-0.07	-0.64	0.55	-0.82	0.54	-0.72	0.13	-0.68	-2.42	-0.27	0.59	-0.53	-1.11	-1.54	2.38	-1.79	0.26	-0.55	-1.26	1.28	0	0
CC(C)CN1C(=O)CN(Cc2ccc(-c3ccc(F)c(CN4CCCC(F)C4)n3)cc2)C1=O	0.41	1.23	0.71	-0.23	-0.22	0.99	0.43	0.34	-0.0	-0.33	0.21	-1.04	-1.64	-0.82	-0.05	0.06	-1.78	-1.15	1.4	-0.56	1	1
NC(=O)c1noc([C@H](CCCC2CCCCC2)CC(=O)NO)n1	-1.27	-0.5	1.4	-2.25	-0.54	-1.02	1.43	0.09	0.2	-1.03	1.12	0.25	-0.01	-1.79	-1.4	0.57	0.61	-1.6	-0.32	-0.69	1	1
CS(=O)(=O)N1CCc2cc(S(=O)(=O)c3ccc4c(c3)OCCO4)ccc21	-1.47	-0.12	-1.47	1.15	0.56	1.74	-1.14	-0.37	0.82	-0.52	0.84	-1.04	1.34	0.9	0.32	0.08	1.2	0.71	-0.88	-0.05	1	1
CC(C)(C)Cn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(OCC(N)=O)ccc3N2)c1=O	-1.09	1.01	0.07	-0.26	-0.89	-1.12	2.2	-0.8	-0.05	1.35	0.68	1.07	-2.54	0.6	-0.46	0.0	-0.47	-2.33	1.2	-1.7	1	1
CC[C@H]1CC(O)=C(C2=Nc3ccc(NS(C)(=O)=O)cc3S(=O)(=O)N2)C(=O)N1Cc1ccc(F)cc1	-0.81	0.04	-0.38	0.77	-1.04	-0.66	-0.99	0.74	0.75	1.52	1.22	0.09	-0.42	0.46	-0.48	-0.7	0.68	-1.1	0.06	-0.57	0	0
