SMILES;ATSC6dv;X3sol;VSA_EState3;X2sol;PEOE_VSA8;H-050;GATS1c;SLogP
CN1CCCC1;0.0;1.643846850117352;0.0;2.3896287658987125;0.0;0.0;1.2915633573222285;0.712
CCOC(=O)c1cccc([N+](=O)[O-])c1;29.96030245746692;4.246892606133022;10.387057429453263;5.696741185593923;12.13273413692322;0.0;1.3311605896273833;1.7715
C/C=C(\C)C(C)(C)C;11.999999999999996;2.0907702751760278;0.0;3.6753212645389093;0.0;0.0;1.5189288489294754;2.9987000000000013
CC1(C)CC(N)CC(C)(CN)C1;30.228373702422132;3.501192039129875;0.0;6.01862382602923;6.041840829147961;4.0;1.7838268273996984;1.4888000000000001
CCO[PH](=O)CSCC;-23.799204162840525;3.2706194139042672;0.0;4.520619413904267;0.0;1.0;1.3261097716566108;2.2081999999999997
OCC(F)(F)F;0.0;0.0;7.277777777777778;0.7071067811865475;0.0;1.0;1.8120800584087957;0.5410000000000001
C=C(C)C(C)(C)C;0.0;1.7320508075688774;0.0;3.5207259421636903;0.0;0.0;1.59908582696867;2.608600000000001
CC(=O)OCCCCOC(C)=O;11.633136094674558;2.312948828843115;0.0;4.779257531797426;13.847474399381248;0.0;1.6313943794590953;0.8928
CCC(CC)C(CC)CC;14.9765625;2.764176246627982;0.0;3.153152472627142;0.0;0.0;1.7162030176982177;3.858800000000003
C1CCOCC1;0.0;1.5;0.0;2.1213203435596424;13.213763929025836;0.0;1.1042501000151257;1.1869
CC(C)(C)CN;0.0;1.0606601717798212;0.0;2.914213562373095;0.0;2.0;1.8450663696086491;0.9912000000000001
C1CCC(CCCC2CCCC2)CC1;3.875;4.424234614174768;0.0;5.585421958697399;0.0;0.0;1.382794075023949;4.9272000000000045
CC(C)CNCC(C)C;-8.260204081632653;1.5629488288431146;3.3842592592592595;3.7185973600176037;0.0;1.0;1.6761447889705727;1.888
CC1Cc2ccccc2O1;14.080000000000002;3.476733295361333;0.0;4.381192597461434;6.4208216229260096;0.0;1.2681110345325084;2.01
O=[N+]([O-])c1ccc(Oc2ccccc2)cc1;34.012800000000006;5.2256321176985745;10.435281749675688;6.764560638555231;12.13273413692322;0.0;1.1200230900842196;3.387100000000001
CCO;0.0;0.0;7.569444444444445;0.7071067811865475;6.606881964512918;1.0;1.3606078700270987;-0.0014000000000000123
Sc1ccc2ccccc2c1;5.7152286173523486;4.064060394031703;2.5187962962962964;5.131088896719406;4.895483475517775;1.0;1.054418219154678;3.1285000000000007
COC(=O)OC;36.0;1.393846850117352;0.0;1.9216682964502654;0.0;0.0;1.9621918150178432;0.3992
CCOc1ccccc1;3.620498614958447;2.421668296450265;0.0;3.2927109793486986;0.0;0.0;1.2762082968547217;2.0853
C=C=C;0.0;0.0;0.0;0.7071067811865475;0.0;0.0;0.8565978481804525;0.9572999999999999
CN1CSCSC1;4.166666666666666;3.2157702751760278;1.2820833333333335;3.827352419921665;16.838462370034282;0.0;1.3867187732752282;1.2707
CCCC1CC1;5.333333333333333;1.2718383821892059;0.0;2.232050807568877;0.0;0.0;1.4810376108681453;2.1965000000000003
Brc1cccnc1;0.0;2.4711971193069777;0.0;3.5596787374197127;16.866406659058566;0.0;0.9998320448993329;1.8440999999999996
