ID_all;SMILES;ID_Livertox;orig_ID_Livertox;yorig_Livertox;CAS_Livertox;NAME_Livertox;units_Livertox;smilessource_Livertox;SMILES_Livertox;desired_units_Livertox;y_Livertox;y_consensus;valid/outlier
721;CCCCCN1C(=O)C(Cc2ccccc2)N=C(c2ccc(O)cc2)c2cc(Cl)ccc21;721;;0;;691369;classBSEPsub;SMILES;CCCCCN1C(=O)C(Cc2ccccc2)N=C(c2ccc(O)cc2)c2cc(Cl)ccc21;classBSEPsub;0;0;valid
722;O=C(Nc1ccc(Cl)cc1)NS(=O)(=O)c1ccc2c(c1)CCC2;722;;0;;642684;classBSEPsub;SMILES;O=C(Nc1ccc(Cl)cc1)NS(=O)(=O)c1ccc2c(c1)CCC2;classBSEPsub;0;0;valid
723;O=[N+]([O-])c1ccc(C2=Nn3c(nnc3-c3ccc(Cl)cc3)SC2)o1;723;;0;;629974;classBSEPsub;SMILES;O=[N+]([O-])c1ccc(C2=Nn3c(nnc3-c3ccc(Cl)cc3)SC2)o1;classBSEPsub;0;0;valid
724;C=C1CC2(CC(c3ccccc3Cl)OC(c3ccccc3Cl)C2)OC1=O;724;;0;;617129;classBSEPsub;SMILES;C=C1CC2(CC(c3ccccc3Cl)OC(c3ccccc3Cl)C2)OC1=O;classBSEPsub;0;0;valid
725;Cc1c2c(cc3c1[nH]c1ccccc13)C(c1ccc(F)cc1)=NCC2;725;;0;;128895;classBSEPsub;SMILES;Cc1c2c(cc3c1[nH]c1ccccc13)C(c1ccc(F)cc1)=NCC2;classBSEPsub;0;0;valid
726;CC(C)=CCCC(C)C1C(=O)C(=O)C(C)/C(=N\c2ccccc2I)C1=O;726;;0;;697126;classBSEPsub;SMILES;CC(C)=CCCC(C)C1C(=O)C(=O)C(C)/C(=N\c2ccccc2I)C1=O;classBSEPsub;0;0;valid
727;COc1ccc(/C=C2\C(=O)NC(=O)c3ccccc32)cc1OC;727;;0;;650599;classBSEPsub;SMILES;COc1ccc(/C=C2\C(=O)NC(=O)c3ccccc32)cc1OC;classBSEPsub;0;0;valid
728;CCCCCCOc1ccc(C(=O)N(C)O)cc1;728;;0;;692758;classBSEPsub;SMILES;CCCCCCOc1ccc(C(=O)N(C)O)cc1;classBSEPsub;0;0;valid
729;C=C1C(=O)C23CCC4C5(C)CCCC4(OC5=O)C2(C)CCC1C3;729;;0;;690290;classBSEPsub;SMILES;C=C1C(=O)C23CCC4C5(C)CCCC4(OC5=O)C2(C)CCC1C3;classBSEPsub;0;0;valid
730;COc1cc(/C=C2\CCC(C)C3=C(c4cc(OC)c(OC)c(OC)c4)C(C#N)C(=N)OC32)cc(OC)c1OC;730;;0;;690757;classBSEPsub;SMILES;COc1cc(/C=C2\CCC(C)C3=C(c4cc(OC)c(OC)c(OC)c4)C(C#N)C(=N)OC32)cc(OC)c1OC;classBSEPsub;0;0;valid
731;C=CC(=O)N1C/C(=C\c2ccccc2)C(=O)/C(=C/c2ccccc2)C1;731;;0;;632841;classBSEPsub;SMILES;C=CC(=O)N1C/C(=C\c2ccccc2)C(=O)/C(=C/c2ccccc2)C1;classBSEPsub;0;0;valid
732;CCN(CC)CCC(=O)N1C/C(=C\c2ccccc2)C(=O)/C(=C/c2ccccc2)C1;732;;0;;634785;classBSEPsub;SMILES;CCN(CC)CCC(=O)N1C/C(=C\c2ccccc2)C(=O)/C(=C/c2ccccc2)C1;classBSEPsub;0;0;valid
