ID_all;SMILES;y_consensus;y_consensus_sd;valid/outlier;ID_avdeef;NAME_avdeef;CAS_avdeef;y_avdeef_nointraoutliers_nointeroutliers;pka_avdeef;ID_sander;NAME_sander;CAS_sander;y_sander_nointraoutliers_nointeroutliers;pka_sander;ID_liao;NAME_liao;CAS_liao;y_liao_nointraoutliers_nointeroutliers;pka_liao;ID_qtbx;NAME_qtbx;CAS_qtbx;y_qtbx_nointraoutliers_nointeroutliers;ID_settimo;NAME_settimo;CAS_settimo;y_settimo_nointraoutliers_nointeroutliers;pka_settimo;units
6416;Oc1cc[nH+]cc1;4.04;;valid;;;;;;7891;;;4.04;a1/apparent;;;;;;;;;;;;;;;pKa
6417;Oc1cc[nH+]cc1O;3.6;;valid;;;;;;252;;;3.6;a1/apparent;;;;;;;;;;;;;;;pKa
6418;Oc1cc[nH+]nc1;1.07;;valid;;;;;;7836;;;1.07;a1/apparent;;;;;;;;;;;;;;;pKa
6419;Oc1ccc(-c2cc(=S)ss2)cc1;7.86;;valid;;;;;;3264;;;7.86;a1/apparent;;;;;;;;;;;;;;;pKa
6420;Oc1ccc(-c2ccc(O)cc2)cc1;9.4;;valid;;;;;;2334;;;9.4;a1/apparent;;;;;;;;;;;;;;;pKa
6421;Oc1ccc(-c2ccccc2)cc1;9.469375;0.0008838834764861487;valid;;;;;;3262;;;9.47;a1/apparent;;;;;;[4704, 4705, 4706, 4815, 5141, 5142, 5661, 4703];[nan, nan, nan, nan, nan, nan, nan, nan];92-69-3;9.468749999999996;;;;;;pKa
6422;Oc1ccc(-c2nnn[nH]2)cc1;4.280000104904175;1.4835690658249663e-07;valid;;;;;;1020;;;4.28;a1/apparent;;;;;;18479;;51517-88-5;4.28000020980835;;;;;;pKa
6423;Oc1ccc(/N=N/c2ccccc2)cc1;8.319999904632564;0.16970576235469131;valid;;;;;;7036;;;8.44;a1/thermodynamic;;;;;;[8616, 8617];;No CAS number;8.19999980926513;;;;;;pKa
6424;Oc1ccc(/N=N/c2nc3ccccc3s2)c2cccnc12;7.2;;valid;;;;;;5921;;;7.2;a1/apparent;;;;;;;;;;;;;;;pKa
6425;Oc1ccc(/N=N/c2nccs2)c(O)c1;1.56;;valid;;;;;;7132;;;1.56;a1/apparent;;;;;;;;;;;;;;;pKa
6426;Oc1ccc(Br)cc1;9.32047060461605;0.04309194230172724;valid;;;;;;43;;;9.29;a1/apparent;;;;;;[5282, 5369, 5864, 5865, 5866, 5579, 5580, 5553, 5554, 5628, 5372, 5302, 5305, 5370, 5371, 2716, 5629];[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan];106-41-2;9.3509412092321;;;;;;pKa
6427;Oc1ccc(Br)cc1Br;7.775999984741208;0.00848525979504829;valid;;;;;;2817;;;7.77;a1/apparent;;;;;;[9670, 9671, 9672, 9770, 9621];[nan, nan, nan, nan, nan];615-58-7;7.781999969482416;;;;;;pKa
6428;Oc1ccc(C2NCCS2)cc1;5.5;0.0;valid;;;;;;1215;;;5.5;a1/apparent;;;;;;[14294, 14295];;['31404-07-6', 'No CAS number'];5.5;;;;;;pKa
6429;Oc1ccc(Cl)c(Cl)c1;8.676363679712464;0.13627882276954406;valid;;;;;;2812;;;8.58;a1/apparent;;;;;;[7426, 7427, 3337, 8089, 6093, 7599, 7769, 7770, 7771, 7005, 7006];[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan];95-77-2;8.772727359424929;;;;;;pKa
6430;Oc1ccc(Cl)c2ccccc12;8.72249991416931;0.11667249751285372;valid;;;;;;958;;;8.64;a/apparent;;;;;;[6728, 6729, 6730, 7406];;604-44-4;8.80499982833862;;;;;;pKa
6431;Oc1ccc(Cl)c2cccnc12;3.66499998807907;0.021213220294337514;valid;;;;;;1216;;;3.68;a1/apparent;;;;;;[20536, 21570, 21571, 21052];;130-16-5;3.64999997615814;;;;;;pKa
6432;Oc1ccc(Cl)cc1;9.453020919561377;0.23054639539423366;valid;;;;;;40;;;9.29;a1/apparent;;;;;;[5888, 5249, 5250, 5251, 5252, 5253, 5126, 5127, 5128, 5333, 5145, 5146, 5529, 5530, 6264, 5283, 5284, 1856, 6208, 6209, 5704, 5705, 5332, 5327, 5328, 5329, 5330, 3155, 3156, 3157, 5331, 3927, 3928, 1239, 1240, 1241, 1242, 3929, 3930, 5334, 5335, 5099, 5100, 6263, 5752, 5753, 6010, 6011];[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan];106-48-9;9.616041839122754;;;;;;pKa
6433;Oc1ccc(Cl)cc1CN1CCCC1;;;outlier;;;;;;2520;;;;a2/apparent;;;;;;8345;;82965-17-1;;;;;;;pKa
6434;Oc1ccc(Cl)cc1C[NH+]1CCCC1;8.3;;valid;;;;;;2522;;;8.3;a1/apparent;;;;;;;;;;;;;;;pKa
6435;Oc1ccc(Cl)cc1C[NH+]1CCCCC1;8.14;;valid;;;;;;7114;;;8.14;a1/apparent;;;;;;;;;;;;;;;pKa
6436;Oc1ccc(Cl)cc1Cl;7.85499999956651;0.07778174531747283;valid;;;;;;2815;;;7.8;a1/apparent;;;;;;[6158, 9616, 9617, 9500, 9501, 9502, 9503, 9504, 9419, 9420, 9044, 9045, 8283, 9315, 9316, 9958, 9959, 9842, 9843, 9844, 9463, 9464];[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan];120-83-2;7.90999999913302;;;;;;pKa
6437;Oc1ccc(F)cc1;9.862916650772094;0.02415950416886139;valid;;;;;;41;;;9.88;a1/apparent;;;;;;[4197, 3767, 3820, 4990, 3636, 3637, 3766, 3735, 3736, 3737, 4061, 4062];[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan];371-41-5;9.845833301544188;;;;;;pKa
