ID_all;SMILES;y_consensus;valid/outlier;ID_DeepPK;NAME_DeepPK;CAS_DeepPK;y_DeepPK_nonambiguous;ID_Metrabase;NAME_Metrabase;CAS_Metrabase;y_Metrabase_nonambiguous
102;CC(=O)OC1CCC2(C)C3=C(CCC2C1)C1CC2OC4(OCC(C)CC4Br)C(C)C2C1(C)C(=O)C3;0.0;valid;[1008, 11, 2005];;;0.0;;;;
103;CC(=O)OC1CCC23CC1(C)CCC2C(C)(C)CC3OC(C)=O;0.0;valid;[2737, 1740, 743];;;0.0;;;;
104;CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(=O)CC21C;0.0;valid;[2425, 1428, 431];;;0.0;;;;
105;CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C;0.0;valid;[1433, 436, 2430];;;0.0;;;;
106;CC(=O)OCC(=O)C1(O)CCC2C3CCC4CC(OC(C)=O)CCC4(C)C3C(=O)CC21C;0.0;valid;[154, 2148, 1151];;;0.0;;;;
107;CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C;0.0;valid;[481, 2475, 1478];;;0.0;;;;
108;CC(=O)OCC(=O)C12OC3(CCCC3)OC1CC1C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC12C;0.0;valid;[1344, 347, 2341];;;0.0;;;;
109;CC(=O)OCC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C;0.0;valid;[1946, 949, 2943];;;0.0;;;;
110;CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O;0.0;valid;[2184, 1187, 190];;;0.0;;;;
111;CC(=O)OCC(COC(C)=O)OC(C)=O;0.0;valid;[1266, 269, 2263];;;0.0;;;;
112;CC(=O)OCC1(O)CC23CCC4c5ccoc5CCC4(C)C2CCC1C3;0.0;valid;[104, 2098, 1101];;;0.0;;;;
113;CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1;0.0;valid;[1442, 445, 2439];;;0.0;;;;
114;CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1;0.0;valid;[449, 2443, 1446];;;0.0;;;;
115;CC(=O)OCC1OC(Oc2cc(OC(C)=O)c3c(=O)cc(-c4ccc(OC(C)=O)cc4)oc3c2)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O;1.0;valid;[921, 2915, 1918];;;1.0;;;;
116;CC(=O)Oc1c(-c2ccccc2)oc2c(CC=C(C)C)c3c(c(OC(C)=O)c2c1=O)C=CC(C)(C)O3;0.0;valid;[2496, 1499, 502];;;0.0;;;;
117;CC(=O)Oc1c2c(c(CC=C(C)C)c3c1C(=O)C1=CC4CC5C(C)(C)OC(C/C=C(\C)C(=O)O)(C4=O)C15O3)OC(C)(CCC=C(C)C)C=C2;1.0;valid;[2649, 1652, 655];;;1.0;;;;
118;CC(=O)Oc1cc(-c2coc3cc(OC(C)=O)c(OC(C)=O)c(OC(C)=O)c3c2=O)cc(OC(C)=O)c1OC(C)=O;0.0;valid;[1761, 764, 2758];;;0.0;;;;
119;CC(=O)Oc1cc(OC(C)=O)c2c(c1)OC(c1ccc(OC(C)=O)c(OC(C)=O)c1)C(OC(C)=O)C2;0.0;valid;[2384, 1387, 390];;;0.0;;;;
120;CC(=O)Oc1ccc(-c2cc(=O)c3c(OC(C)=O)cc(OC(C)=O)cc3o2)cc1;0.0;valid;[970, 2964, 1967];;;0.0;;;;
121;CC(=O)Oc1ccc(Cl)c2cccnc12;0.0;valid;[1130, 133, 2127];;;0.0;;;;
122;CC(=O)Oc1ccc2c(c1)Oc1cc(OC(C)=O)ccc1C21OC(=O)c2cc(C(=O)O)ccc21;1.0;valid;[1434, 437, 2431];;;1.0;;;;
123;CC(=O)Oc1cccc(O)c1;0.0;valid;[1225, 228, 2222];;;0.0;;;;
124;CC(=O)Oc1cccc2c1C(=O)c1c(OC(C)=O)cc(C(=O)O)cc1C2=O;0.0;valid;[1768, 771, 2765];;;0.0;;;;
125;CC(=O)Oc1ccccc1C(=O)O;0.0;valid;[1384, 387, 2381];;;0.0;;;;
126;CC(=O)Oc1ccccc1C(=O)Oc1ccccc1C(=O)O;0.0;valid;[1824, 827, 2821];;;0.0;;;;
127;CC(=O)SC1C=C2CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12;0.0;valid;[2753, 1756, 759];;;0.0;;;;
128;CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)C(C(C)=O)C(=O)C12C;0.0;valid;[1378, 381, 2375];;;0.0;;;;
129;CC(=O)c1c(O)cc(O)cc1O;0.0;valid;[2153, 1156, 159];;;0.0;;;;
130;CC(=O)c1cc2c(cc1O)OC(C)(C)C=C2;0.0;valid;[729, 2723, 1726];;;0.0;;;;
131;CC(=O)c1ccc(O)c(CC=C(C)C)c1;0.0;valid;[2920, 1923, 926];;;0.0;;;;
132;CC(=O)c1ccc[nH]1;0.0;valid;[49, 2043, 1046];;;0.0;;;;
133;CC(C(=O)O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C;0.0;valid;[1929, 932, 2926];;;0.0;;;;
134;CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1;0.0;valid;[370, 2364, 1367];;;0.0;;;;
135;CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12;0.0;valid;[448, 2442, 1445];;;0.0;;;;
136;CC(C)(C#N)OC1OC(CO)C(O)C(O)C1O;0.0;valid;[192, 2186, 1189];;;0.0;;;;
137;CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1;0.0;valid;[2480, 1483, 486];;;0.0;;;;
138;CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1;0.0;valid;[898, 2892, 1895];;;0.0;;;;
139;CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1;0.0;valid;[2473, 1476, 479];;;0.0;;;;
140;CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O;0.0;valid;[1625, 628, 2622];;;0.0;;;;
141;CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2;0.0;valid;[1618, 621, 2615];;;0.0;;;;
142;CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1;0.0;valid;[1736, 739, 2733];;;0.0;;;;
143;CC(C)(C)NCC(O)c1cc(O)cc(O)c1;0.0;valid;[33, 2027, 1030];;;0.0;;;;
144;CC(C)(C)NCC(O)c1ccc(O)c(CO)c1;0.0;valid;[1048, 51, 2045];;;0.0;;;;
145;CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1;0.0;valid;[1593, 596, 2590];;;0.0;;;;
146;CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1;1.0;valid;[2497, 1500, 503];;;1.0;;;;
147;CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O;0.0;valid;[874, 2868, 1871];;;0.0;;;;
148;CC(C)(Oc1ccc(Cl)cc1)C(=O)O;0.0;valid;[1040, 43, 2037];;;0.0;;;;
149;CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1;0.0;valid;[1906, 909, 2903];;;0.0;;;;
150;CC(C)=CC1C(C(=O)O)C1(C)C;0.0;valid;[2249, 1252, 255];;;0.0;;;;
151;CC(C)=CCC/C(C)=C/CC/C(C)=C/CO;0.0;valid;[585, 2579, 1582];;;0.0;;;;
152;CC(C)=CCC/C(C)=C\CO;0.0;valid;[592, 2586, 1589];;;0.0;;;;
153;CC(C)=CCCC(C)(O)C1CC=C(C)CC1;0.0;valid;[465, 2459, 1462];;;0.0;;;;
