ID_all;SMILES;y_consensus;y_consensus_sd;valid/outlier;ID_Potts;NAME_Potts;CAS_Potts;y_Potts_nointraoutliers_nointeroutliers;ID_Khajeh;NAME_Khajeh;CAS_Khajeh;y_Khajeh_nointraoutliers_nointeroutliers;units
109;CCOC(=O)c1cccnc1;-2.1915250000000004;0.04026973118857392;valid;58;;614-18-6;-2.16305;120;Ethyl nicotinate;;-2.22;logcm/h
110;CCOC=O;-3.01;0.0;valid;221;;109-94-4;-3.01;119;Ethyl formate ;;-3.01;logcm/h
111;CCOCCO;-3.5218499999999997;0.02566797615707183;valid;69;;110-80-5;-3.54;24;2-ethoxyethanol ;;-3.5037;logcm/h
112;CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1;-2.05489;;valid;125;;333-41-5;-2.05489;;;;;logcm/h
113;CCc1ccc(O)cc1;-1.447155;0.0181655732086824;valid;60;;123-07-9;-1.43431;48;4-Ethylphenol ;;-1.46;logcm/h
114;CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3;-2.075925;0.07647359838532494;valid;85;;41340-25-4;-2.02185;124;etodolac;;-2.13;logcm/h
115;CN(C)C(=O)CCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C;-4.17196;;valid;138;;74253-50-2;-4.17196;;;;;logcm/h
116;CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1;-2.6385199999999998;0.00681650937063807;valid;51;;132-22-9;-2.64334;92;chlorpheniramine ;;-2.6337;logcm/h
117;CN(C)c1ccccc1;-1.7;0.0;valid;223;;121-69-7;-1.7;166;N,N-Dimethyl aniline ;;-1.7;logcm/h
118;CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1;-4.000925;0.06940253057345962;valid;89;;66357-35-5;-3.95185;205;ranitidine;;-4.05;logcm/h
119;CN/C(=C\[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1;-4.32185;;valid;90;;76963-41-2;-4.32185;;;;;logcm/h
120;CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O;-3.720615;0.12640947927271917;valid;2;;36322-90-4;-3.63123;193;Piroxicam ;;-3.81;logcm/h
121;CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O;-3.05;;valid;224;;59804-37-4;-3.05;;;;;logcm/h
122;CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5;-4.605255;0.4971738489200732;valid;72;;57-27-2;-4.95681;271;Morphine;;-4.2537;logcm/h
123;CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)CC[C@H]3[C@H]1C5;-4.82188;;valid;139;;509-60-4;-4.82188;;;;;logcm/h
124;CN1[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21;-4.289735;0.014516902217759775;valid;43;;51-34-3;-4.27947;207;Scopolamine ;;-4.3;logcm/h
125;CN1[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2;-4.479665;0.33370490324536767;valid;3;;51-55-8;-4.71563;73;atropine ;;-4.2437;logcm/h
126;CNCCC=C1c2ccccc2CCc2ccccc21;-2.88185;;valid;147;;72-69-5;-2.88185;;;;;logcm/h
127;CNN;-3.75;0.0;valid;227;;60-34-4;-3.75;163;Monomethylhydrazine ;;-3.75;logcm/h
128;CN[C@@H](C)[C@H](O)c1ccccc1;-2.207695;0.01740189788500095;valid;57;;299-42-3;-2.19539;112;Ephedrine ;;-2.22;logcm/h
129;CO;-3.25946875;0.06254889809680908;valid;13;;67-56-1;-3.21524;153;Methanol ;;-3.3036975;logcm/h
130;COC(=O)CCCCCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C;-2.26904;;valid;158;;114611-36-8;-2.26904;;;;;logcm/h
131;COC(=O)Cc1ccc(O)cc1;-1.70185;;valid;[264, 229];;14199-15-6;-1.70185;;;;;logcm/h
132;COC(=O)c1ccc(N)cc1;-1.4158;;valid;44;;619-45-4;-1.4158;;;;;logcm/h
133;COC(=O)c1ccc(O)cc1;-2.01319;0.03791506560722268;valid;[19, 165];;99-76-3;-1.98638;154;Methyl 4-hydroxybenzoate ;;-2.04;logcm/h
134;COC(=O)c1ccccc1O;-1.34185;;valid;91;;119-36-8;-1.34185;;;;;logcm/h
135;COC(=O)c1cccnc1;-2.48458;0.03594930875552407;valid;114;;93-60-7;-2.45916;158;Methyl nicotinate ;;-2.51;logcm/h
136;COC(C)COC(C)CO;;;outlier;230;;34590-94-8;;259;Dipropylene glycol methyl ether ;;;logcm/h
137;COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O;-2.8583600000000002;0.044745717113484886;valid;102;;126-07-8;-2.82672;131;Griseofulvin ;;-2.89;logcm/h
138;COCC(C)O;-2.820925;0.1118289374446525;valid;92;;107-98-2;-2.74185;12;1-Methoxypropan-2-ol ;;-2.9;logcm/h
139;COCCO;-3.73;0.0;valid;232;;109-86-4;-3.73;269;Methyl cellosolve ;;-3.73;logcm/h
140;COCCOC(C)=O;;;outlier;82;;110-49-6;;232;2-Methoxyethyl acetate ;;;logcm/h
141;COCCOCCOCCOC(=O)c1cccnc1;-3.51;;valid;233;;132537-22-5;-3.51;;;;;logcm/h
142;COCCc1ccc(OCC(O)CNC(C)C)cc1;-3.080925;0.0013081475451952043;valid;154;;37350-58-6;-3.08185;161;metoprolol;;-3.08;logcm/h
143;COc1c2occc2cc2ccc(=O)oc12;-1.65685;0.13173399333505373;valid;231;;298-81-7;-1.75;60;8-methoxypsoralen ;;-1.5637;logcm/h
144;COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1;;;outlier;20;;53-86-1;;142;indomethacin;;;logcm/h
145;COc1ccccc1;-1.5071050000000001;0.13137336887664874;valid;8;;100-66-3;-1.41421;71;Anisole ;;-1.6;logcm/h
146;CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1;-2.89185;;valid;83;;51803-78-2;-2.89185;;;;;logcm/h
147;C[C@@H](O)[C@@H](C)O;-4.34477;;valid;100;;24347-58-8;-4.34477;;;;;logcm/h
148;C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1;-2.68185;;valid;37;;141505-33-1;-2.68185;;;;;logcm/h
149;C[C@H](N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O;-4.82185;;valid;157;;16305-75-2;-4.82185;;;;;logcm/h
150;C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;-3.75711;0.20804495716070612;valid;17;;378-44-9;-3.90422;247;betamethasone;;-3.61;logcm/h
151;C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O;-4.85106;0.05283501869025892;valid;135;;71-63-6;-4.88842;255;digitoxin ;;-4.8137;logcm/h
152;C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O;-2.42225;0.02510229073212234;valid;32;;53-16-7;-2.4045;260;estrone;;-2.44;logcm/h
153;C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O;-4.39925;;valid;160;;50-27-1;-4.39925;;;;;logcm/h
154;C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO;-3.325205;0.035065425279041065;valid;29;;64-85-7;-3.30041;101;deoxycorticosterone;;-3.35;logcm/h
