ID_all;SMILES;y_consensus;valid/outlier;NAME_DeepPK;CAS_DeepPK
78;CC(C)(O)[C@H]1C2C(=O)O[C@@H]1[C@H]1OC(=O)[C@@]34O[C@@H]3C[C@]2(O)[C@@]14C;0.0;valid;;
79;CC(C)(Oc1ccc(C2CCCc3ccccc32)cc1)C(=O)O;0.0;valid;;
80;CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O;0.0;valid;;
81;CC(C)(Oc1ccc(Cl)cc1)C(=O)O;0.0;valid;;
82;CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1;0.0;valid;;
83;CC(C)(c1ccc(O)cc1)c1ccc(O)cc1;0.0;valid;;
84;CC(C)=CCC/C(C)=C/CC/C(C)=C/CC=C(C)C=Cc1c(C)c(O)c2ccccc2c1O;0.0;valid;;
85;CC(C)=CCC/C(C)=C/CO;0.0;valid;;
86;CC(C)C(=O)c1c(C(C)C)nn2ccccc12;0.0;valid;;
87;CC(C)C(Br)C(=O)NC(N)=O;0.0;valid;;
88;CC(C)C(N)C(=O)OCCOCn1cnc2c(=O)[nH]c(N)nc21;0.0;valid;;
89;CC(C)C1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)C3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12;0.0;valid;;
90;CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1;0.0;valid;;
91;CC(C)CC(NC(=O)C(O)C(N)Cc1ccccc1)C(=O)O;0.0;valid;;
92;CC(C)CC1C(=O)N2CCCC2[C@]2(O)O[C@](NC(=O)C3C=C4c5cccc6[nH]cc(c56)CC4N(C)C3)(C(C)C)C(=O)N12;0.0;valid;;
93;CC(C)CC1NC(=O)C(CCCN)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(CC(C)C)NC(=O)C(CCCN)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC1=O;0.0;valid;;
94;CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1;0.0;valid;;
95;CC(C)Cc1ccc(C(C)C(=O)O)cc1;0.0;valid;;
96;CC(C)N=C(Nc1ccc(Cl)cc1)c1ccncc1;0.0;valid;;
97;CC(C)NCC(O)COc1ccc(CC(N)=O)cc1;0.0;valid;;
98;CC(C)NCC(O)COc1cccc2[nH]ccc12;0.0;valid;;
99;CC(C)NCC(O)COc1cccc2ccccc12;0.0;valid;;
100;CC(C)NCC(O)c1ccc(O)c(O)c1;0.0;valid;;
101;CC(C)NC[C@@H](O)COc1cccc2ccccc12;0.0;valid;;
102;CC(C)NC[C@H](O)COc1cccc2[nH]ccc12;0.0;valid;;
103;CC(C)NNC(=O)c1ccncc1;0.0;valid;;
104;CC(C)Nc1ccc(Nc2ccccc2)cc1;1.0;valid;;
105;CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C;0.0;valid;;
106;CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1;0.0;valid;;
107;CC(C)[C@@]1(NC(=O)C2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)C(Cc3ccccc3)N2C1=O;0.0;valid;;
108;CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C;1.0;valid;;
109;CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C;1.0;valid;;
110;CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2;1.0;valid;;
111;CC(C)c1cccc(C(C)C)c1O;0.0;valid;;
112;CC(C)c1nc(CN(C)C(=O)NC(C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1;0.0;valid;;
113;CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1;0.0;valid;;
114;CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1;1.0;valid;;
115;CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1;0.0;valid;;
116;CC(CN1c2ccccc2Sc2ccccc21)N(C)C;0.0;valid;;
117;CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1;0.0;valid;;
118;CC(N)=S;0.0;valid;;
119;CC(N)C(O)c1cccc(O)c1;0.0;valid;;
120;CC(N)C(O)c1ccccc1;0.0;valid;;
121;CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1;1.0;valid;;
122;CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1;0.0;valid;;
123;CC(S)C(=O)NCC(=O)O;0.0;valid;;
124;CC(c1cc2ccccc2s1)N(O)C(N)=O;0.0;valid;;
125;CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1;0.0;valid;;
126;CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O;0.0;valid;;
127;CC1(C)O[C@@H]2C[C@H]3[C@@H]4CC=C5CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1;1.0;valid;;
