ID_all;SMILES;y_consensus;valid/outlier;ID_Bocci;NAME_Bocci;CAS_Bocci;y_Bocci_nonambiguous;ID_Metrabase;NAME_Metrabase;CAS_Metrabase;y_Metrabase_nonambiguous;ID_Sedykh;NAME_Sedykh;CAS_Sedykh;y_Sedykh_nonambiguous;ID_Livertox;NAME_Livertox;CAS_Livertox;y_Livertox_nonambiguous
84;COc1ccc2c(c1)c(=O)c1c(NCCCN(C)C)ccc3nc(C)n2c31;0.0;valid;85.0;C 1375;;0.0;99.0;C 1375;;0.0;;;;;1282.0;mol_0136;;0.0
85;CCN(CC)CCCNc1ccc2nc(C)n3c4ccc(OC)cc4c(=O)c1c23;0.0;valid;86.0;C 1379;;0.0;156.0;C 1379;;0.0;;;;;1283.0;mol_0139;;0.0
86;CCN(CC)CCNc1ccc2ncn3c4ccccc4c(=O)c1c23;0.0;valid;87.0;C 1415;;0.0;96.0;C 1415;;0.0;;;;;1442.0;mol_0137;;0.0
87;CCN(CC)CCNc1ccc2ncn3c4cc(O)ccc4c(=O)c1c23;1.0;valid;88.0;C 1419;;1.0;382.0;C 1419;;1.0;;;;;1480.0;mol_0417;;1.0
88;CN(C)CCCCCNc1ccc2ncn3c4ccc(O)cc4c(=O)c1c23;1.0;valid;89.0;C 1492;;1.0;137.0;C 1492;;1.0;;;;;1482.0;mol_0418;;1.0
89;CCN(CC)CCNc1ccc2ncn3c4c(OC)ccc(OC)c4c(=O)c1c23;0.0;valid;90.0;C 1503;;0.0;291.0;C 1503;;0.0;;;;;1274.0;mol_0138;;0.0
90;CCN(CC)CCNc1ccc2ncn3c4ccc(C)cc4c(=O)c1c23;0.0;valid;91.0;C 1554;;0.0;353.0;C 1554;;0.0;;;;;1438.0;mol_0132;;0.0
91;CCN(CC)CCNc1ccc2ncn3c4ccc(C(C)(C)C)cc4c(=O)c1c23;0.0;valid;92.0;C 1558;;0.0;319.0;C 1558;;0.0;;;;;1437.0;mol_0131;;0.0
92;CCN(CC)CCNc1ccc2ncn3c4c(O)cccc4c(=O)c1c23;1.0;valid;93.0;C 1633;;1.0;172.0;C 1633;;1.0;;;;;1474.0;mol_0419;;1.0
93;CCN(CC)CCCCCCCCCNc1ccc2ncn3c4ccc(O)cc4c(=O)c1c23;0.0;valid;94.0;C 2018;;0.0;17.0;C 2018;;0.0;;;;;1481.0;mol_0134;;0.0
94;CN(C)CCCNc1ccc2nnn3c4ccc(O)cc4c(=O)c1c23;;outlier;95.0;C-1305;;;65.0;C-1305;;;;;;;333.0;645830;;
95;CCN(CC)CCNc1ccc2nc(C)n3c4ccc(O)cc4c(=O)c1c23;1.0;valid;96.0;C-1310;;1.0;13.0;C 1310;;1.0;;;;;1486.0;mol_0413;;1.0
96;CCN(CC)c1ccc2c(c1)oc(=O)c1c(Cl)cc(=O)oc12;1.0;valid;97.0;C-1336;;1.0;;;;;;;;;;;;
97;CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1;1.0;valid;98.0;C-1584;;1.0;;;;;;;;;;;;
98;COc1ccc2nc(C#N)sc2c1;0.0;valid;99.0;C1176;;0.0;;;;;;;;;;;;
99;O=C(O)c1ccc(CCl)cc1;0.0;valid;100.0;C1212;;0.0;;;;;;;;;;;;
100;O=CCC(=O)C(=O)[O-];0.0;valid;101.0;C1213;;0.0;;;;;;;;;;;;
101;CCOC(=O)C#N;0.0;valid;102.0;C1266;;0.0;;;;;;;;;;;;
102;C=CCOC(=O)OC;0.0;valid;103.0;C1315;;0.0;;;;;;;;;;;;
103;O=C([O-])[C@@H](O)OCCO;0.0;valid;104.0;C1379;;0.0;;;;;;;;;;;;
104;O=P(Cl)(c1ccccc1)c1ccccc1;0.0;valid;105.0;C1415;;0.0;;;;;;;;;;;;
105;O=C(CCl)N[C@@H](Cc1ccccc1)C(=O)O;0.0;valid;106.0;C1503;;0.0;;;;;;;;;;;;
106;O=C1C[C@@H](CO)OC[C@@H]1O;0.0;valid;107.0;C1554;;0.0;;;;;;;;;;;;
