ID_all;SMILES;y_consensus;valid/outlier;ID_ChEMBL;NAME_ChEMBL;CAS_ChEMBL;y_ChEMBL_nonambiguous;ID_CtoxPred;NAME_CtoxPred;CAS_CtoxPred;y_CtoxPred_nonambiguous
125;Cc1ccc(C2(CCN3CCOCC3)CC(c3ccccc3)=NN2C(=O)Nc2ccc(F)cc2)cc1;1.0;valid;132;;;1.0;126.0;CHEMBL3902564;;1.0
126;Cc1ccc(C2(CCO)CC(c3ccncc3)=NN2C(=O)Nc2ccc(F)cc2)cc1;1.0;valid;196;;;1.0;430.0;;;1.0
127;Cc1ccc(Nc2nc(C(=O)N3CCCC(C)C3C)cs2)cc1;1.0;valid;56;;;1.0;162.0;CHEMBL2418806;;1.0
128;Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1;0.0;valid;23;;;0.0;387.0;;;0.0
129;Cc1cccc(Nc2ccc(-c3ccc(N4CCNCC4)nc3)cc2)n1;0.0;valid;140;;;0.0;116.0;CHEMBL1770752;;0.0
130;Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1;0.0;valid;[42, 87];;;0.0;170.0;CHEMBL255863;;0.0
131;Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1;0.0;valid;[18, 20];;;0.0;99.0;CHEMBL1421;;0.0
132;Cc1nc2c(=O)n(C3CC3)c3c(Cl)c(N4CC[C@@H]([C@H](C)N)C4)c(F)cc3c2o1;0.0;valid;201;;;0.0;190.0;CHEMBL4786331;;0.0
133;Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2;0.0;valid;194;;;0.0;76.0;CHEMBL85;;0.0
134;Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O;0.0;valid;[173, 110];;;0.0;218.0;CHEMBL1621;;0.0
