SMILES	GATS2Z	ATSC0c	SLogP_VSA2	F02(O-O)	GATS2v	GATS1se	ATSC1se	ATSC7c	GATS2se	ATSC1dv	MINssCH2	VSA_EState2	AATS4s	EState_VSA5	ZMIC1	observed	predicted
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O	-1.21256	-0.47124	-0.85783	-0.5653	0.0794	-0.9639	0.12592	0.02124	-1.59221	-0.2137	-0.04003	0.98094	2.26652	-0.921	-0.43701	1	1
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12	0.4631	-1.03942	-0.88679	-0.5653	0.6335	-0.55325	0.4016	0.28244	-0.7187	-0.09353	0.87942	-0.41272	-1.13604	1.32823	-0.24958	0	0
O=C(O)C1C(=CCO)OC2CC(=O)N21	-0.32404	0.36645	0.095	0.09362	0.5549	0.55682	-0.88345	-0.06884	-0.1272	-0.88495	-1.24772	0.26424	2.27028	-0.13116	-1.29215	1	1
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2	-0.29274	0.93617	-0.29672	-0.5653	-1.89757	-0.11159	0.1365	1.12034	1.10879	1.37077	0.61645	0.34915	-0.10627	0.5254	0.44834	1	1
NC(=O)CCCNC(=C1C=C(F)C=CC1=O)c1ccc(Cl)cc1	-1.18536	-0.47105	-0.84458	-0.5653	0.32825	-1.12243	0.01689	0.15013	-0.69573	-0.38819	-0.16904	0.25188	0.0896	-0.04653	-0.11938	1	1
CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C	-0.07079	3.77487	6.24711	-0.5653	0.17356	-0.65796	-0.05264	-7.77611	-0.53799	6.90481	-1.73481	8.9945	-0.09092	5.38857	7.15101	0	0
CC12CC3CC(C)(C1)CC(N)(C3)C2	0.42606	-1.35549	-1.27631	-0.5653	0.30975	2.91566	0.46209	0.1418	-0.45869	-0.64898	2.01056	-1.12022	-1.53907	1.85128	-0.69619	1	1
Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1	0.06228	-0.8656	-1.00306	0.09362	-0.43399	-1.89758	1.62753	-0.70725	-0.82618	-0.78347	1.32171	-1.11568	0.35539	-0.04792	0.35298	1	1
COC1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC21	1.26293	1.39146	0.727	0.75254	-0.45267	0.20091	-1.24716	0.83591	-0.37457	0.0816	-1.33824	1.85764	0.56562	1.25282	-0.35506	0	0
CCOc1ccccc1OC(c1ccccc1)C1CNCCO1	1.41373	-0.16169	-0.36266	-0.5653	0.53576	0.49285	0.48197	0.47181	2.04171	-0.13558	0.60404	-1.12022	-0.62805	-0.921	0.3463	1	1
Cc1cccc(C)c1NC(=O)C(C)N	-0.64132	-0.91607	-1.05834	-0.5653	-0.12876	0.20823	0.25891	-0.28771	-0.92987	-0.17742	1.02175	-0.43714	-0.35946	-0.921	-1.12202	1	1
CC(CN1c2ccccc2Sc2ccccc21)N(C)C	-0.0483	-1.1437	-0.39073	-0.5653	-1.41762	0.99156	0.73227	0.01543	2.90137	-0.09498	1.40579	-0.67544	-1.09799	0.6021	0.07906	0	0
CC12CCC(=O)C=C1C1CC1C1C2CCC2(C)C1C1CC1C21CCC(=O)O1	-0.01278	-0.74844	-0.87456	0.09362	0.41096	-1.3977	0.61565	0.28445	-0.95646	0.81391	0.66185	0.33835	-1.14015	1.32823	0.40058	1	1
CC(C)(C)S(=O)(=O)CC(Cc1ccccc1)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(CC1CCCCC1)C(O)C(O)C1CC1	1.04092	0.71286	1.09265	0.09362	1.49893	-0.60338	0.39662	-1.68024	-0.57894	-0.09996	-1.39287	0.96934	-0.38606	-0.00363	1.27441	0	0
CCN(CC)CCNC(=O)c1ccc(NS(C)(=O)=O)cc1	1.57343	-0.52475	0.29201	0.09362	0.4518	-1.35542	1.04719	-0.82915	-0.48047	-0.48885	0.55946	-0.27075	-0.31325	-0.921	-0.31835	1	1
CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1	-0.65361	-0.23098	-0.88921	0.75254	-0.02015	-0.71093	0.45441	1.50931	-0.63786	0.37457	0.85461	0.48435	-0.16744	0.07548	0.93688	0	0
Clc1ccc2nsnc2c1NC1=NCCN1	-1.83283	-0.78802	-0.51946	-0.5653	-1.22694	0.19797	0.18933	-0.14946	-0.22253	-0.9238	0.95937	-0.86487	-0.40571	-0.07703	-0.91843	0	0
COCCCOc1cc(CC(CC(N)C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC	0.67306	1.15933	0.67916	-0.5653	0.57014	0.41793	-0.13053	-0.28226	0.51932	1.26274	-0.35215	0.35307	-0.62184	-0.921	0.74889	0	0
