ID;orig_ID;SMILES;Property;smiles_source;experimental_column;UNITS
134;hERG135;COc1ccc(CN2CCC(NC(C(Oc(c3C4=O)cc(F)cc3)=C4)=O)CC2)cc1;1;Smiles;Property;classhERGinh
135;hERG136;CCN(CCNC(c1c(OC)cc(N)c(Cl)c1)=O)CC;1;Smiles;Property;classhERGinh
136;hERG137;FC1C(c2c(c3[nH]c2C4CCCCCC4)ccc(F)c3)CNCC1;1;Smiles;Property;classhERGinh
137;hERG138;CN(CCC=C1c(c2CCc(c13)cccc3)cccc2)C;1;Smiles;Property;classhERGinh
138;hERG139;CCCCNCC(c1c(c2cc(Cl)c1)c(c3C2=Cc4ccc(Cl)cc4)ccc(Cl)c3)O;1;Smiles;Property;classhERGinh
139;hERG140;NC(C(N1C(c2cc(O)ccc2)C=C(c3c(F)ccc(F)c3)C1)=O)C4CC4;1;Smiles;Property;classhERGinh
140;hERG141;Fc1cc(c2cc1)OC(C(NC3CCN(Cc4cc(c5cc4)OC(F)(F)O5)CC3)=O)=CC2=O;1;Smiles;Property;classhERGinh
141;hERG142;C1NCCC(c2c(c3[nH]c2c4ccccc4)cccc3)C1;1;Smiles;Property;classhERGinh
142;hERG143;OCCOCCN1CCN(C(c(c2Sc(c34)cccc3)cccc2)=N4)CC1;1;Smiles;Property;classhERGinh
143;hERG144;OC1(c2ccc(Cl)cc2)CCN(CCCC(c3ccc(F)cc3)=O)CC1;1;Smiles;Property;classhERGinh
144;hERG145;Clc1cc(C(N2C(=O)C(NCc3n(Cc4ccc(C#N)cc4)cnc3)CC2)=O)ccc1;1;Smiles;Property;classhERGinh
145;hERG146;O=C(C(C1)=C2C(=N1)C=CC=C2)OC3CC(N4C5C3)CC(C(=O)C4)C5;1;Smiles;Property;classhERGinh
146;hERG147;Oc1cc(c2c(O)c1)OC(c3cc(O)c(O)c(O)c3)C(OC(c4cc(O)c(O)c(O)c4)=O)C2;1;Smiles;Property;classhERGinh
147;hERG148;Brc1cc(C(N2C(=O)C(NCc3n(Cc4ccc(C#N)cc4)cnc3)CC2)=O)cnc1;1;Smiles;Property;classhERGinh
148;hERG149;Clc1c(Cl)cc(c2c1)C(=O)C=C(C(NC3CCN(Cc4cc(c5cc4)OCO5)CC3)=O)O2;1;Smiles;Property;classhERGinh
149;hERG150;CNCCC(c1ccccc1)Oc2c(C)cccc2;1;Smiles;Property;classhERGinh
150;hERG151;CN(CCC=C1c(c2OCc(c13)cccc3)cccc2)C;1;Smiles;Property;classhERGinh
151;hERG152;CN(C(N1C(c2cc(O)ccc2)C=C(c3c(F)ccc(F)c3)C1)=O)C4CCNCC4;1;Smiles;Property;classhERGinh
152;hERG153;CCS(CNC1c(c2OC(C)(C)C1O)cc(CN)cc2)(=O)=O;1;Smiles;Property;classhERGinh
153;hERG154;COc1c(OC)cc(CCN(CCCNC(C(=O)NN=C2)=C2Cl)C)cc1;1;Smiles;Property;classhERGinh
154;hERG155;CCN=C(c1cc(OC)c(OC)cc1)N2c(c3CCC2)ccc(C(C(C)SC(=O)N4)=N4)c3;1;Smiles;Property;classhERGinh
155;hERG156;O=C(C(Oc(c1C2=O)cccc1)=C2)NC3CCN(Cc4cc(c5cc4)OCO5)CC3;1;Smiles;Property;classhERGinh
156;hERG157;CN1C(c2c(c3[nH]c2c4ccccc4)cccc3)CCCC1;1;Smiles;Property;classhERGinh
157;hERG158;FC1C(c2c(c3[nH]c2c4ccccc4)cc(F)cc3)CNCC1;1;Smiles;Property;classhERGinh
158;hERG159;FC1C(c2c(c3[nH]c2c4ccccc4)cc(Cl)cc3)CNCC1;1;Smiles;Property;classhERGinh
159;hERG160;COC(C1C(N(C)C2CC1OC(c3ccccc3)=O)CC2)=O;1;Smiles;Property;classhERGinh
160;hERG161;O=C1N(Cc2ccccc2)CCC1NCc3n(Cc4ccc(C#N)cc4)cnc3;1;Smiles;Property;classhERGinh
161;hERG162;CC(N(C(C)C)CCC(c1ncccc1)(c2ccccc2)C(N)=O)C;1;Smiles;Property;classhERGinh
162;hERG163;COC1C(NC(c2c(OC)cc(N)c(Cl)c2)=O)CCN(CCCOc3ccc(F)cc3)C1;1;Smiles;Property;classhERGinh
163;hERG164;COc1c(OC)cc(Cc2c(c3ccn2)cc(OC)c(OC)c3)cc1;1;Smiles;Property;classhERGinh
164;hERG165;CCc1cc(c2cc1)OC(C(NC3CCN(Cc4cc(c5cc4)OCO5)CC3)=O)=CC2=O;1;Smiles;Property;classhERGinh
165;hERG166;COc1ccc(CC2c(c3CCN2C)cc(Oc4c(O)ccc(CC5c(c6CCN5C)cc(OC)c(OC)c6)c4)c(OC)c3)cc1;1;Smiles;Property;classhERGinh
166;hERG167;COC1(C(C(C(C)(C)C)(O)C)C2)CCC2(C3(c(c4c(O)cc5)c5C6)C1O4)C6N(CC7CC7)CC3;1;Smiles;Property;classhERGinh
167;hERG168;CCCCc1n(Cc2ccc(c3c(c4n[nH]nn4)cccc3)cc2)c(CO)c(Cl)n1;1;Smiles;Property;classhERGinh
168;hERG169;CCOc1c(C(NCC2OCCN(Cc3ccc(F)cc3)C2)=O)cc(Cl)c(N)c1;1;Smiles;Property;classhERGinh
169;hERG170;CC(C(N1C(c2cc(O)ccc2)C=C(c3c(F)ccc(F)c3)C1)=O)(C)C;1;Smiles;Property;classhERGinh
170;hERG171;CC(C(C(N1C(c2cc(O)ccc2)C=C(c3c(F)ccc(F)c3)C1)=O)O)(C)C;1;Smiles;Property;classhERGinh
171;hERG172;C(C1NCCCC1)C(C2CCCCC2)C3CCCCC3;1;Smiles;Property;classhERGinh
172;hERG173;CSc1c(C(N2C(=O)C(NCc3n(Cc4ccc(C#N)cc4)cnc3)CC2)=O)cccn1;1;Smiles;Property;classhERGinh
173;hERG174;OC(c1ccc(Cl)cc1)CN2CCC(Cc3ccc(F)cc3)CC2;1;Smiles;Property;classhERGinh
174;hERG175;CNC1c(c2C(c3cc(Cl)c(Cl)cc3)CC1)cccc2;1;Smiles;Property;classhERGinh
175;hERG176;CCN(Cc1cc(c2cc1)CCC(N3C(=O)CN(CCc4ccc(F)cc4)CC3)C2)CC;1;Smiles;Property;classhERGinh
176;hERG177;CCCCN(CC(c1c(c2cc(Cl)c1)c(c3C2=Cc4ccc(Cl)cc4)ccc(Cl)c3)O)CCCC;1;Smiles;Property;classhERGinh
177;hERG178;O=C1N(c2c(c3ccc2)cccn3)CCC1NCc4n(Cc5ccc(C#N)cc5)cnc4;1;Smiles;Property;classhERGinh
178;hERG179;COC(c1c(C2C(F)CCNC2)c(c3[nH]1)ccc(F)c3)=O;1;Smiles;Property;classhERGinh
179;hERG180;CC(C(C(N1C(c2cc(O)ccc2)C=C(c3c(F)ccc(F)c3)C1)=O)N)C;1;Smiles;Property;classhERGinh
