ID;orig_ID;idx_separated;SMILES;Index;Binary_Characterization;old_ID;subset;NAME;Characterization;smiles_source;experimental_column;UNITS
1456;1456;1456;CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@]3(O)C(=O)C[C@@H](C)O[C@H]3O[C@@H]2[C@H]1O;1457.0;0;O1[C@H]2[C@H](O[C@@H]3O[C@@H](CC(=O)[C@@]13O)C)[C@@H](O)[C@H](NC)[C@H](O)[C@@H]2NC;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1457;1457;1457;COc1cc2ccc(=O)oc2c2ccoc12;1458.0;0;O1c2c(cc(OC)c3occc23)C=CC1=O;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1458;1458;1458;O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1;1459.0;0;Fc1ccc(cc1)C(=O)CCCN1CCC2(N(CNC2=O)c2ccccc2)CC1;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1459;1459;1459;CO[C@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O[C@H]2CC[C@H](N(C)C)[C@@H](C)O2)/C=C/C=C/C[C@H](C)OC(=O)C[C@H]1O;1460.0;0;O1[C@H](C\C=C\C=C\[C@H](O[C@@H]2O[C@H](C)[C@@H](N(C)C)CC2)[C@@H](C[C@H](CC=O)[C@H](O[C@@H]2O[C@H](C)[C@@H](O[C@@H]3O[C@@H](C)[C@@H](O)[C@](O)(C3)C)[C@H](N(C)C)[C@H]2O)[C@@H](OC)[C@H](O)CC1=O)C)C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1460;1460;1460;COc1cc(C)c2c(c1C=O)Oc1c(c(C)c(O)c3c1[C@@H](O)OC3=O)OC2=O;1461.0;1;O1[C@H](O)c2c(c(O)c(c3OC(=O)c4c(Oc23)c(C=O)c(OC)cc4C)C)C1=O;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1461;1461;1461;CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@H]3CCC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@@]21C)C(C)C;1462.0;0;O=C1CC[C@]2([C@H]3[C@@H]([C@H]4CC[C@H]([C@@H](\C=C\[C@H](C(C)C)CC)C)[C@]4(CC3)C)CCC2=C1)C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1462;1462;1462;CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@@]4(C)[C@@H]3CC[C@@]21C)C(C)C;1463.0;0;O[C@@H]1CC2=CC[C@@H]3[C@H]4CC[C@H]([C@@H](\C=C\[C@H](C(C)C)CC)C)[C@]4(CC[C@H]3[C@@]2(CC1)C)C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1463;1463;1463;CN[C@@H]1[C@H](O[C@@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O;1464.0;0;O1[C@@H](CO)[C@H](O)[C@@H](O)[C@H](NC)[C@@H]1O[C@H]1[C@@](O)(C=O)[C@@H](O[C@H]1O[C@@H]1[C@@H](NC(N)=N)[C@H](O)[C@@H](NC(N)=N)[C@H](O)[C@H]1O)C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1464;1464;1464;CN(N=O)C(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O;1465.0;0;O1[C@H](CO)[C@@H](O)[C@H](O)[C@@H](NC(=O)N(N=O)C)[C@H]1O;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1465;1465;1465;CC1(C)[C@]2(Cl)[C@@H](Cl)[C@H](Cl)[C@@](Cl)(C(Cl)Cl)[C@@]1(Cl)[C@H]2Cl;1466.0;0;Cl[C@]12[C@](Cl)(C(Cl)Cl)[C@@H](Cl)[C@H](Cl)[C@](Cl)([C@@H]1Cl)C2(C)C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
