ID_SET_COMPOUND;ID_SET;ID NUMBER;IRB PLATE;LIBRARY;ORIGINAL WELL;ID;ROMol;SMILES
84;set_4;HY-50940;PLATE_525;Clinical;E08;atoms 25 bonds 27;<rdkit.Chem.rdchem.Mol object at 0x000002137428B7B0>;O=C(NC1CCNCC1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl
85;set_4;HY-16961;PLATE_525;Clinical;F08;atoms 45 bonds 50;<rdkit.Chem.rdchem.Mol object at 0x000002137428B820>;COCCNCc1ccc(-c2cc3nccc(Oc4ccc(NC(=O)C5(C(=O)Nc6ccc(F)cc6)CC5)cc4F)c3s2)nc1
86;set_4;HY-109011;PLATE_525;Clinical;G08;atoms 28 bonds 30;<rdkit.Chem.rdchem.Mol object at 0x000002137428B890>;C=C1CC[C@H]2[C@H](CN)[C@@H]([C@@]3(C)CC[C@H](O)C[C@@H]3CO)CC[C@]12C
87;set_4;HY-13438;PLATE_525;Clinical;H08;atoms 32 bonds 36;<rdkit.Chem.rdchem.Mol object at 0x000002137428B900>;NC1=N[C@@](c2cccc(-c3cncnc3)c2)(c2ccnc(C(F)F)c2)c2cccc(F)c21
88;set_4;HY-13541A;PLATE_525;Clinical;I08;atoms 50 bonds 50;<rdkit.Chem.rdchem.Mol object at 0x000002137428B970>;CC(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)NC(=O)[C@H](Cc2cnc[nH]2)NC1=O.O=C(O)C(F)(F)F
89;set_4;HY-132842;PLATE_525;Clinical;J08;atoms 42 bonds 45;<rdkit.Chem.rdchem.Mol object at 0x000002137428B9E0>;C=CC(=O)Nc1cc(Nc2nccc(Nc3cc(Cl)c(F)cc3C(C)(C)O)n2)c(OC)cc1N1CC[C@@H](N(C)C)C1
90;set_4;HY-16271;PLATE_525;Clinical;K08;atoms 11 bonds 9;<rdkit.Chem.rdchem.Mol object at 0x000002137428BA50>;Cl.N#CCCCSC(=N)N
91;set_4;HY-109079;PLATE_525;Clinical;L08;atoms 28 bonds 30;<rdkit.Chem.rdchem.Mol object at 0x000002137428BAC0>;CNCc1cn(S(=O)(=O)c2cccc(F)c2)c(-c2ccc(F)cc2F)c1OC
92;set_4;HY-13898;PLATE_525;Clinical;M08;atoms 34 bonds 38;<rdkit.Chem.rdchem.Mol object at 0x000002137428BB30>;Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C(C)(C)C(N)=O)c4)cc2OCC3)n(C(C)C)n1
93;set_4;HY-19149;PLATE_525;Clinical;N08;atoms 19 bonds 21;<rdkit.Chem.rdchem.Mol object at 0x000002137428BBA0>;CNC1=Nc2ccc(Cl)cc2C(c2ccc[nH]2)=NC1
94;set_4;HY-100888;PLATE_525;Clinical;O08;atoms 25 bonds 29;<rdkit.Chem.rdchem.Mol object at 0x000002137428BC10>;Cc1n[nH]cc1-c1cc2[nH]c([C@@H]3CC4CCN3CC4)nc(=O)c2s1
95;set_4;HY-B1727;PLATE_525;Clinical;P08;atoms 14 bonds 16;<rdkit.Chem.rdchem.Mol object at 0x000002137428BC80>;c1ccc2c(c1)ccc1ccccc12
96;set_4;HY-19931;PLATE_525;Clinical;A09;atoms 30 bonds 33;<rdkit.Chem.rdchem.Mol object at 0x000002137428BCF0>;O=C(Nc1nc(-c2ccc(O)c(O)c2)c(-c2ccccc2)s1)c1ccc(O)c(O)c1
97;set_4;HY-16086;PLATE_525;Clinical;B09;atoms 28 bonds 31;<rdkit.Chem.rdchem.Mol object at 0x000002137428BD60>;Cn1c(COc2ccc(CC3SC(=O)NC3=O)cc2)nc2ccccc2c1=O
