SMILES	SMR_VSA6	C-024	BELi0	RASA	VSA_EState5	GATS2c	SLogP_VSA3	MATS1dv	H-047	SaasC	AATS5dv	Mor08u	HATS2u	ATSC2dv	GATS2s	GATS7se	Mor19m	observed	predicted
CN1CCC[C@H]1c1cccnc1	0.13	-0.37	0.15	0.67	-0.04	2.32	-1.04	0.32	-0.24	0.03	-0.77	-0.09	0.82	-0.74	1.45	-1.58	-0.33	1.0	1.0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C	-0.93	-0.92	-0.71	-0.34	1.77	-1.64	-0.59	0.19	-1.32	-0.7	-0.94	0.28	-0.62	-0.65	-1.16	-0.31	1.74	0.0	0.0
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12	0.64	0.19	0.15	0.39	0.89	0.76	-1.04	0.07	1.0	0.23	-0.1	0.62	-0.31	-0.62	0.94	0.05	-0.81	0.0	1.0
CC(C)COC[C@H](CN(Cc1ccccc1)c1ccccc1)N1CCCC1	2.01	1.85	0.14	1.25	0.23	2.79	0.02	0.08	2.09	0.71	-0.24	1.34	-0.33	-1.15	2.67	0.09	0.33	1.0	1.0
CC(Cn1cnc2c(N)ncnc21)OCP(=O)(O)O	0.01	-0.92	0.16	-1.64	0.09	-0.11	0.44	-1.11	-0.7	-0.55	0.0	-0.79	0.01	0.56	-0.72	-0.47	-0.77	0.0	0.0
CC1C(=O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3	-0.93	-0.92	-0.63	-0.23	-0.11	0.19	1.21	1.4	-1.48	-0.7	-0.53	0.05	0.02	1.62	-0.61	-0.68	0.59	1.0	0.0
CCC(N)Cc1ccc2c(c1)OCO2	-0.4	-0.09	0.14	0.03	0.73	0.47	-0.44	0.48	-0.86	0.84	-0.61	-0.39	0.46	0.09	1.3	0.62	0.44	1.0	1.0
CC1CC[C@@]2(OC1)OC1CC3C4CC(O)C5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7OC7OC(CO)C(O)C(O)C7O)C(O)C6O)CC[C@]5(C)C4CC[C@]3(C)C1C2C	1.64	-0.92	-0.7	-1.42	0.72	0.15	3.38	-0.83	3.02	-0.7	0.0	2.04	-1.04	-0.94	1.07	-0.13	0.21	0.0	0.0
CCCCCCCC1OC1CC#CC#CC(=O)CCO	-0.42	-0.92	-0.71	0.03	4.68	-0.1	-0.15	0.24	-0.86	-0.7	-0.32	0.45	0.0	-0.42	0.2	-0.17	0.66	0.0	0.0
C=CCc1ccc(OC)c(OC)c1	0.18	-0.09	-0.72	0.86	0.66	2.11	-0.44	0.59	0.38	0.74	-0.74	-0.17	0.7	-0.52	2.74	-0.43	-0.81	1.0	1.0
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21	-0.93	-0.37	-0.72	0.77	0.9	-0.6	-0.44	1.44	-1.01	1.18	-0.54	0.57	-0.21	0.74	-0.58	2.59	0.49	0.0	0.0
O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1	2.12	1.02	2.85	0.33	0.06	0.44	-1.04	0.13	1.47	0.77	-0.0	0.11	-0.36	-0.36	-0.75	-0.08	-0.21	1.0	1.0
CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CCN	2.52	-0.92	0.17	-1.52	-0.57	-0.95	3.7	-1.94	1.0	-0.72	0.91	0.31	-0.86	5.02	-0.67	-0.23	-2.26	0.0	0.0
CN(C(=O)c1c(O)c2ccccc2n(C)c1=O)c1ccccc1	-0.0	1.58	0.15	0.3	-0.42	-0.1	-0.38	0.44	0.85	-0.63	0.69	-0.83	-0.12	0.5	-0.29	0.53	-1.57	0.0	0.0
COC1CC[C@@]2(C)C(CC[C@]3(C)C2CCC2C4=CC(C)(C)CC[C@]4(C)CC[C@]23C)C1(C)C	-0.38	-0.92	-0.72	1.26	1.1	0.71	-0.6	1.65	-0.7	-0.7	-0.98	-0.7	-0.72	-0.01	0.88	-0.67	2.75	0.0	0.0
CN1CCc2cccc3c2[C@@H]1Cc1ccc(O)c(O)c1-3	0.13	0.47	0.14	0.07	-0.05	-0.61	0.16	0.18	0.23	2.33	-0.09	-0.72	-0.23	-0.16	-0.56	0.38	-0.36	0.0	1.0
CCc1cccc2cc(C(O)CNC(C)(C)C)oc12	-0.42	0.19	0.14	0.74	0.25	0.36	-0.44	1.21	-0.39	0.27	-0.44	0.46	-0.04	0.4	0.59	1.77	0.3	1.0	1.0
CN(C)CCC=C1c2ccccc2COc2ccc(CC(=O)O)cc21	0.68	1.02	0.14	-0.03	-0.05	0.13	0.63	0.22	1.32	1.9	0.22	-0.32	-0.26	-0.53	-0.87	-0.94	-0.74	0.0	0.0
