SMILES	C-017	H-046	H-050	AATSC1dv	MATS4s	GATS3d	BELd0	nR_3_True_False_None_False	H6m	R7p	RDF030m	JGI2	JGI3	B02[N-O]	PNSA4	observed	predicted
C=CCC1/C=C(\C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(/C(C)=C/C3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC	-0.25	1.12	0.23	0.4	0.26	0.22	1.04	-0.37	2.43	1.04	2.36	0.37	0.17	1.68	-0.1	1	1
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21	-0.25	-0.22	-0.84	0.34	0.27	-0.25	-0.64	0.3	-0.53	0.58	-0.49	-0.8	-0.55	-0.59	0.72	0	1
CC(C)CC1NC(=O)C(C)N(C)C(=O)CNC(=O)/C(=C\c2ccccc2)N(C)C1=O	-0.25	-0.22	-0.13	1.03	-0.75	0.11	-0.71	-0.37	0.96	0.73	0.76	0.2	-0.06	1.68	-0.07	1	1
CC(C)=CCC[C@@](C)(O)C1CC[C@]2(C)C1C(O)CC1[C@@]3(C)CCC(OC4OC(COC5OCC(O)C(O)C5O)C(O)C(O)C4O)C(C)(C)C3CC[C@]12C	1.34	1.87	2.02	-0.12	0.49	1.25	1.23	1.65	1.89	0.77	2.63	1.31	0.72	-0.59	-0.2	0	0
O=C(O)C1OC(Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O	-0.25	-0.75	1.66	-1.25	0.85	-0.83	-0.48	0.3	0.16	0.2	0.21	-0.05	0.07	-0.59	-2.17	0	0
Oc1ccc(OC(F)(F)F)cc1CNC1CCCNC1c1ccccc1	-0.25	-0.75	0.23	-0.0	0.6	-0.46	1.02	0.3	0.31	0.17	0.12	-0.77	-0.39	-0.59	-0.4	1	1
CC(=O)OC[C@]1(O)C[C@]23CCC4[C@@](C)(CCC[C@@]4(C)C=O)C2CCC1C3	-0.25	1.05	-0.48	0.25	0.02	0.91	1.06	1.65	-0.24	0.34	0.89	0.92	1.08	-0.59	0.66	0	0
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(C)=O	-0.25	-0.07	-0.84	2.46	-0.17	-1.0	-0.6	-0.37	0.83	0.24	-0.39	0.1	-0.33	-0.59	-0.27	0	1
CC(C)C(C(=O)O)C(=O)C(=O)O	1.34	-0.22	-0.13	1.29	0.78	0.28	-0.71	-1.05	-0.66	-0.68	-0.42	0.86	1.95	-0.59	-0.57	0	0
COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1	-0.25	-0.3	-0.48	0.99	-0.64	0.77	-0.58	-0.37	0.07	-0.24	-0.81	-0.06	-0.05	-0.59	0.27	1	1
CC(OC1OCCNC1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1	-0.25	-0.75	-0.48	0.49	-0.62	-1.06	1.02	0.3	0.36	0.24	0.27	0.02	-0.47	-0.59	-1.23	1	1
C/C1=C\C2OC(=O)C(C)C2CC/C(C(=O)OC2C(O)C(O)OC(CO)C2O)=C\CC1	-0.25	0.3	0.59	-0.01	-0.13	-0.04	-0.73	-0.37	-0.21	0.08	0.33	0.31	0.39	-0.59	-0.68	0	0
CC(C)=C1C[C@@]2(C)C(C)CCCC2CC1=O	1.34	0.9	-0.84	0.4	0.24	1.6	1.04	0.3	-0.6	-0.05	-0.64	1.17	0.38	-0.59	1.0	0	0
CCCCCCCCCCCCC/C=C/C(O)C(CO)NC(=O)CCCCCCCCCCCCCCCCCCC	-0.25	4.04	0.23	-0.9	0.86	-0.86	-0.88	-1.05	0.35	0.14	0.51	-1.81	-1.62	1.68	0.74	0	0
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C	-0.25	-0.75	-0.84	0.92	-1.0	0.18	1.06	-1.05	-0.24	-0.22	-0.06	0.78	0.4	-0.59	-0.04	1	1
CC1CC[C@@]2(OC1)OC1CC3C4CCC5CC(OC6OC(COC7OC(CO)C(O)C(O)C7O)C(O)C(O)C6O)CC[C@@]5(C)C4CC[C@@]3(C)C1C2C	-0.25	1.35	1.66	-0.21	0.67	0.65	1.04	1.65	1.75	0.46	2.67	0.62	0.5	-0.59	-0.17	0	0
CCOc1ccccc1OC(c1ccccc1)C1CNCCO1	-0.25	-0.75	-0.48	0.1	0.24	-0.28	-0.75	0.3	-0.62	0.58	-0.76	-0.96	-1.24	-0.59	0.34	1	1
