SMILES;Name;Cluster;Center
CC(C)=CC(C)OCc1ccccc1;CNP0049240;659;No
c1ccc(C2CN3CCSC3=N2)cc1;CNP0338347;659;No
c1ccc(OCc2ccc(CN3CCOCC3)cc2)cc1;CNP0060499;659;No
CCC(=O)c1ccccc1N=O;CNP0029556;659;No
CC(c1ccccc1)n1c(=O)[nH]c2nc3cc(N)ccc3nc2c1=O;CNP0185019;659;No
O=C(O)c1ccccc1Nc1ccccc1;CNP0361598;659;No
CCN(C(=O)SCc1ccccc1)C(C)C(C)C;CNP0263541;659;No
CC1C(c2ccccc2)OC(c2ccccc2)C1C;CNP0404934;659;No
CC1C2C(C=Cc3ccccc3)N(C)C(=O)N(C)C2N(C)C(=O)N1C;CNP0362159;659;No
O=C(O)c1ccccc1CO;CNP0283123;659;No
Cc1nc(-c2ccccc2)sc1-c1csc(NC(=N)N)n1;CNP0305481;659;No
CN1C(=O)C2(CO)NC(=O)C1(Cc1ccccc1)S2;CNP0303964;659;No
N#CC(=NNc1ccc(Br)cc1)c1nc2ccccc2s1;CNP0026235;659;No
c1ccc2ccccc2c1;['NPC291066',;659;No
O=c1oc(=O)c2ccc3ccccc3c2c2c1ccc1ccccc12;CNP0035436;659;No
O=C([O-])C(=Cc1ccccc1)Cc1ccccc1;CNP0310996;659;No
O=C1c2c([nH]ccc2=O)-c2nccc3c2c1nc1ccccc13;['CNP0107154',;659;No
Cc1nn(-c2ccccc2)c2oc3sccc3c(=S)c12;CNP0038157;659;No
CC(C(O)c1ccccc1)[NH+](C)C;CNP0066229;659;No
c1ccc(CSc2nnc(SCc3ccccc3)nn2)cc1;CNP0040122;659;No
NC(=O)Cc1ccccc1;CNP0212090;659;No
O=C(COc1ccc(Cl)cc1)Nc1nc2ccccc2s1;CNP0297456;659;No
O=C(C=C([O-])c1ccccc1O)c1ccco1;CNP0067618;659;No
c1ccc2c(c1)c1cccc3ccc4ccnc2c4c31;CNP0341515;659;No
CC(c1ccccc1)C(c1ccccc1)c1ccccc1;CNP0059034;659;No
CC(c1ccccc1)N1CCN(C(C)c2ccccc2)CC1;CNP0247941;659;No
CC(C)(C)OC(=O)C(C(=O)Cc1ccccc1)c1ccccc1;CNP0059824;659;No
OCc1ccc(C#CC=Cc2ccco2)s1;CNP0174411;659;No
OCc1ccc2ccccc2c1;['NPC128645',;659;No
COC1=Cc2cccc3ccc(-c4ccccc4)c(c23)C1=O;['CNP0309065',;659;No
CC(C)=C1N=C(c2ccccc2)OC1=O;CNP0316882;659;No
O=C([O-])Cc1ccccc1;CNP0085837;659;No
CSc1nc2nc(=S)n(-c3ccccc3C(=O)[O-])c([O-])c2n1C;CNP0338465;659;No
C[N+](C)([O-])c1ccccc1;CNP0155701;659;No
Cc1nccn1C(c1ccccc1)(c1ccccc1)c1ccccc1;CNP0125721;659;No
CC[NH+](CC)CCc1nc(-c2ccccc2)no1;CNP0390659;659;No
Cc1ccccc1-c1[nH]c(C(=O)NCC2CCCO2)cc2c3ccccc3nc1-2;CNP0294094;659;No
C[C@@H](O)c1ccccc1;NPC87299;659;No
CCOc1ccccc1OC(c1ccccc1)C(OC)C1=NCCN1;CNP0394429;659;No
NC(=O)c1ccccc1I;CNP0049799;659;No
O=C(O)c1ccccc1-c1cc2ccccc2c(=O)o1;CNP0347035;659;No
CC(C)(C)[NH2+]CC(=O)Nc1c2c(nc3ccccc13)CCC2;CNP0187952;659;No
CC(C)CC(CP(=O)(O)C(N)c1ccccc1)C(=O)O;CNP0390720;659;No
CCOP(=S)(OCC)Oc1cc(-c2ccccc2)on1;CNP0098412;659;No
