SMILES	Mor12u	C-005	C-019	ATSC6p	AATSC8Z	MATS1c	MATS1se	BELpe-1	R1s	Vu	TDB04v	Mor09m	Mor13m	JGI1	B02[O-O]	B09[C-C]	observed	predicted
CCCCC/C=C\C=C/[C@H](O)C/C=C\C/C=C/CCCC(=O)O	-0.58	-0.53	0.17	-0.09	-0.19	-0.63	0.0	0.36	-0.3	0.33	-1.26	0.3	0.52	-1.48	1.0	0.76	0.0	0.0
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21	0.54	0.65	1.08	0.35	-0.19	-0.1	0.35	-0.32	-0.09	-0.89	1.66	0.25	0.2	-0.71	-1.0	-1.32	1.0	1.0
C/C(=C\C(O)CC(C)C1CC(=O)[C@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(O)C(C)(C)C1CC3=O)C(=O)O	-1.26	-0.53	0.17	0.88	-0.11	-0.33	0.07	-0.32	0.76	1.32	-0.34	0.8	-0.68	1.39	1.0	0.76	0.0	0.0
CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1	0.55	-0.53	0.17	-0.18	-0.04	-0.52	0.04	-0.32	0.35	0.19	1.06	0.51	0.8	-0.58	1.0	0.76	0.0	0.0
C=C(C)C1CC[C@]2(C(=O)O)CC[C@]3(C)C(CCC4[C@@]5(C)C(C(=O)O)C(O)C(C)(C)C5CC[C@]43C)C12	-1.37	-0.53	1.08	0.45	-0.09	-0.71	0.05	0.36	0.32	0.75	-0.15	-0.21	-0.86	1.17	1.0	0.76	0.0	0.0
CC/C=C\COC(=O)CCCCC	-0.14	-0.53	0.17	0.24	-0.58	-0.55	0.67	0.7	-1.48	0.02	-0.76	0.58	0.91	-1.33	1.0	0.76	0.0	0.0
CC(C)C(NC(=O)C(N)CCC(N)=O)C(=O)O	0.46	-0.53	1.98	-0.32	0.51	-1.5	-0.8	1.55	0.88	0.16	-0.23	0.45	0.42	1.07	1.0	-1.32	0.0	0.0
Oc1ccc2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)c2c(c(C3c4ccc(O)cc4OC(c4ccc(O)c(O)c4)C3O)c1O)OC(c1ccc(O)c(O)c1)C(O)C2	0.61	-0.53	-0.74	0.58	-0.21	-0.03	-1.13	-0.66	3.0	0.82	-0.85	-3.2	-2.94	-0.43	-1.0	0.76	0.0	0.0
c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc12	1.49	-0.53	-0.74	0.53	-0.61	1.08	0.99	-1.34	-1.32	-0.27	1.52	-0.32	-0.09	-1.46	-1.0	0.76	1.0	1.0
O=c1ccc2nc3ccc(OCc4ccccc4)cc3oc-2c1	0.58	-0.53	-0.74	-0.37	-0.01	0.74	0.36	-0.32	-0.03	-0.8	0.34	-0.84	0.03	-0.72	-1.0	0.76	1.0	1.0
Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1	-0.32	-0.53	-0.74	0.03	-0.67	0.9	1.21	-0.32	-0.94	-1.44	-0.45	0.19	0.18	-1.33	-1.0	0.76	0.0	0.0
Cc1nc2c(c(=O)n(C)c(=O)n2CC2CCCCC2)n1C	0.22	1.82	0.17	-1.09	-0.52	-1.3	0.5	0.36	-0.75	-1.28	-0.03	-0.83	0.39	-0.71	-1.0	0.76	1.0	1.0
CNCCC(Oc1ccccc1C)c1ccccc1	0.12	0.65	-0.74	-0.12	-0.28	0.89	0.64	-0.32	-0.47	-0.94	-0.23	-0.16	0.29	-1.33	-1.0	0.76	1.0	1.0
C=C1CC[C@]2(CO)C(O)C[C@]3(C)C(CCC4[C@@]5(C)CCC(O)C(C)(C)C5CC[C@]43C)C2C1C	-1.6	-0.53	-0.74	0.85	-0.08	0.28	-0.0	0.19	-0.55	0.72	-0.28	1.05	-1.53	1.22	-1.0	0.76	0.0	0.0
CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)O)n2C1	0.4	-0.53	0.17	-2.54	-0.31	-0.14	0.22	-0.49	0.17	-0.48	0.31	-0.04	0.11	-0.16	1.0	0.76	0.0	0.0
CC1=CC2OC3C(O)C(O)[C@@](C)([C@@]34CO4)[C@@]2(CO)C(O)C1=O	0.49	-0.53	-0.74	0.3	-0.03	0.57	-0.65	0.19	0.7	0.11	1.39	0.72	-0.94	0.65	-1.0	-1.32	0.0	0.0
CC/C=C\CC(=O)OCC	0.57	-0.53	0.17	0.03	-0.41	-0.49	0.59	0.7	-1.3	-0.89	-0.44	0.91	0.76	-0.8	1.0	-1.32	0.0	0.0
NS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)C(=O)OC23CCCC3)cc1	0.33	-0.53	0.17	-0.87	0.62	-0.88	0.82	-0.66	0.34	0.76	0.54	-0.9	0.04	0.27	1.0	0.76	0.0	1.0
Cc1cncc(CN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c1	-0.04	-0.53	-0.74	-1.5	0.22	1.78	0.83	-0.49	-0.32	0.07	-0.05	-0.29	0.48	-0.86	-1.0	0.76	0.0	1.0
CC(C)CCCC(C)CCCC(C)C(=O)O	-0.61	-0.53	0.17	0.48	-0.04	-1.19	0.2	1.38	-0.75	1.17	-0.86	0.67	0.46	0.48	1.0	0.76	0.0	0.0
CCCCCCCCCCCC/C=C/C(O)C(COP(=O)(O)OCC[N+](C)(C)C)NC(=O)CCCCCCCCCCCCCCCCCCCCCCC	0.86	3.0	0.17	-2.33	-0.16	-0.78	-0.46	-2.19	-1.49	-1.69	-0.61	0.07	-1.3	-1.04	1.0	0.76	0.0	0.0
CCC(C)C(N)C(=O)NC(CO)C(=O)O	-0.17	-0.53	1.08	-0.05	-0.61	-1.03	-0.84	1.38	0.56	0.82	-0.11	0.6	0.71	0.72	1.0	-1.32	0.0	0.0
Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1	0.13	-0.53	-0.74	0.56	-0.11	0.38	0.07	-0.32	0.33	0.45	-0.63	-0.52	-1.37	-0.86	-1.0	0.76	0.0	0.0
CNC(=O)Oc1cccc2c1OC(C)(C)C2	0.84	0.65	-0.74	-1.0	-1.35	-1.32	0.17	-0.32	-0.61	-1.75	0.39	-0.29	0.49	0.83	1.0	-1.32	1.0	1.0
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC	0.42	0.65	0.17	0.69	-0.7	0.08	-0.06	-0.32	-0.45	-1.05	-0.29	0.09	0.24	-0.05	-1.0	0.76	1.0	1.0
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O	-0.02	-0.53	0.17	-0.03	-0.16	-0.6	0.2	0.36	-0.2	0.36	-1.25	0.33	-0.02	-2.02	1.0	0.76	0.0	0.0
NC(Cc1ccccc1)C(=O)O	0.33	-0.53	0.17	-0.27	-0.04	-0.99	-0.68	-0.32	0.44	-0.28	0.51	0.38	0.68	-0.27	1.0	-1.32	0.0	0.0
