SMILES	SLogP	nR_3_True_False_True_False	ESpm03d	N-068	ATSC1dv	GATS2dv	AATS0dv	GATS2d	AATS0p	MATS5Z	AATSC5c	nArCOO	ARR	X0vA	AATS5i	ATSC7c	AATSC7i	BELv0	GATS6i	AATSC6v
OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1	4.447900000000003	1	4.8420493700994065	0	54.09977324263039	0.39057459677419354	12.904761904761905	0.9116993801652894	1.4154715351805716	0.129996125709337	-0.0005238274548844646	0	0.39285714285714285	0.5174901064976626	166.86898468559255	0.40932168126954815	1.292588491527757	20.92	1.27242281364444	-6.271453870981426
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C	6.103720000000005	2	4.487782072339745	0	85.3525377229081	0.9623505550811277	5.407407407407407	1.8079838709677423	1.4938735062179997	-0.004113972951243721	-0.00043066136950190383	1	0.42857142857142855	0.6323416863331239	158.228279223113	0.0747372358509775	0.0774472284793222	20.93	1.2269879148584002	-12.277289230318177
CCCCC(OCC)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O	1.2134000000000005	0	4.50636061043435	1	73.54648888888889	0.7747350377059967	6.608888888888889	1.3379634200523274	1.4045671105214796	-0.0788456437311399	0.0002783376294312	0	0.0	0.6412497260729856	165.58315379358595	-0.448152603196684	-0.008335711713144572	24.43	0.7039204882633852	2.9655391653948837
S=P(N1CC1)(N1CC1)N1CC1	0.15770000000000017	0	3.4262151446374434	3	0.6844267077411388	1.676452545015237	4.337090713902308	1.4603174603174598	2.0558980373125224	-0.30202312138728316	0.0008206371646351929	0	0.0	0.7409697392282385	153.1225477129	0.0		24.64	0.0	47.07315549408653
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O	5.5773000000000055	3	4.04039454889752	0	124.81069958847739	1.0266570091955922	7.669079040726551	1.263867586419515	1.56625754464669	0.0034749097007224137	0.0011114027980419253	0	0.509090909090909	0.5892438228660587	162.07019895305297	-0.06106809259336071	0.14157482267533522	22.46	0.9933419105745885	1.5279086404125761
CCN(CC)CCn1c(=O)nc(-c2ccccc2F)c2cc(Cl)ccc21	4.1978000000000035	2	3.7595242936832682	1	76.34238161505402	0.747375802610422	7.523509324927765	1.0504251258025332	1.5840579574857225	0.19478014396430784	0.0006607714946362174	0	0.6071428571428571	0.6012163837720854	164.69023285846527	0.0064149045297615045	-0.20396294047482336	22.46	0.9060462256815135	9.375633657327278
CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C	2.0576	1	5.169560841790555	0	46.198766333901474	0.7992256439569859	7.795795795795796	1.3904153871019884	1.5103987104670815	-0.11716754346730276	0.001604685252911707	0	0.3	0.6464470621924188	157.21400362435597	0.13329777823853134	-0.20255599524956233	24.44	0.9823133477945164	-3.82052789734102
Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1	2.734400000000001	2	3.624191588491699	0	18.806013220427637	0.8823766343462267	7.28661995328662	1.2783326538931923	1.6115734723671356	-0.043097721682615484	-0.0005169725469419324	0	0.5217391304347826	0.5743312459154741	160.03627270196932	-0.08006069005228324	0.029906493630106404	22.46	1.0487088823731747	-8.607224940302963
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12	2.1975999999999996	1	4.356760107425994	2	20.72376543209876	1.0352302538351414	5.592592592592593	1.3730979914790018	1.4969381379421876	0.010281877316919633	9.175535718156898e-05	0	0.4	0.6389050951471118	164.22733015444956	0.24218099765330425	-0.14091381000959047	24.44	1.2335085833605064	-6.097410267958994
CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1	3.468320000000002	0	3.8115394668498235	0	44.11296296296297	0.6982824420233996	6.832716049382716	0.9622699701860801	1.524334675045725	-0.3167251787156137	-0.005425816141178701	0	0.3157894736842105	0.6809460652688205	161.22473430884483	0.07936160777383432	0.0689536637467966	24.44	1.3769710415952625	-18.245916987503126
CC12CCC(=O)C=C1C=CC1C2CCC2(C)C1CCC2(O)CCC(=O)O	3.8902000000000028	0	4.635632657467473	0	58.968112244897966	0.94353994727569	5.464285714285714	1.8438697318007657	1.3797679133119642	0.1329243517348392	0.001788273350837556	0	0.0	0.6089184475599146	164.31634895243903	-0.04059341664155343	-0.0696281490435088	20.89	0.8870233727692997	3.9792558427529157
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl	4.8618	1	3.5589985332594165	0	-1.9984014443252818e-15	0.6501498669014231	14.28747795414462	1.0612244897959184	3.0708434285714286	0.11466951338848842	0.005351482222585504	0	0.42857142857142855	0.7095126622547209	170.8726309480889	0.0		22.46	0.16268147170908978	-12.802741083365502
O=C1NC(=O)N(C2CC(O)C(CO)O2)CC1I	-1.19	0	3.228905360505379	1	16.95921207133059	0.8902824771927708	9.300806584362139	1.3224834741862608	2.1712862587679	0.04669285622784918	-0.005528981370926347	0	0.0	0.64897469661148	168.0172064224267	-0.04960547059607858	0.0387309973872201	32.52	0.9456121366541431	-1.560914861453851
O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1	4.447900000000003	1	4.8420493700994065	0	54.09977324263039	0.39057459677419354	12.904761904761905	0.9116993801652894	1.4154715351805716	0.129996125709337	-0.0005238274548844646	0	0.39285714285714285	0.5174901064976626	166.86898468559255	0.40932168126954815	1.292588491527757	20.92	1.27242281364444	-6.271453870981426
CN(C)CCC=C1c2ccccc2COc2ccccc21	3.9624000000000033	2	3.354245526766363	1	46.367346938775526	1.190803683073775	5.619047619047619	1.2316724264914167	1.5280755952816432	-0.07056234446384135	-0.0006827825317377764	0	0.5217391304347826	0.6034730786776238	154.8752774252723	0.11875143938851988	-0.21232408651134735	20.92	1.1515870509538733	-7.125589688849552
