SMILES	SLogP	PEOE_VSA6	EState_VSA2	O-056	ATSC6v	ATSC8d	ATSC5s	PEOE_VSA10	GATS2c	ATS0dv	ATS0Z	X3A	ATSC5se	GATS5Z	ATSC8v
COc1cc2c(cc1OC)[C@@H]1C(=O)c3c(cc4c(c3O)C=CC(C)(C)O4)O[C@H]1CO2	3.7135000000000025	0.0	23.70309023585876	1	-166.69899012579333	-11.338757396449704	-26.763796433267583	46.87339798807752	1.1987381185686927	488.0	1298.0	0.16151400584005093	-1.090461609467459	1.054716490722969	-304.43632882168083
C[C@H](C(=O)O)c1ccc(C(=O)c2cccs2)cc1	3.167200000000001	30.33183534230805	5.783244946364939	1	-47.975473963811595	-3.1111111111111116	-21.371353071178177	0.0	0.6799199710845235	250.44444444444446	964.0	0.19692737832169768	-0.9354748788888889	1.0856802712529727	55.674893127798576
CCC(=O)OCC(=O)[C@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@]3(Cl)[C@@H](O)C[C@]21C	4.086800000000004	46.26781063535627	42.799427953627145	1	732.4288241901861	-3.5582660911990938	8.597868357274969	0.0	0.9668899756205726	481.60493827160496	1782.0	0.15866149191017323	-0.5189510000000004	1.0905714288016861	424.6525433210958
C/C=C(\C)C(=O)O[C@@H]1[C@@H]2C=C3[C@H]4CC(=O)O[C@@H](c5ccoc5)[C@@]4(C)CC[C@H]3[C@](C)(C2=O)[C@@H]([C@H](O)C(=O)OC)C1(C)C	4.4996000000000045	45.42009354249953	30.009183949565582	1	1409.4152366349836	-0.509068739521414	-5.547115531169025	17.991177721861543	0.9995879742082772	600.0	1768.0	0.16095725496103944	-0.6912945928974255	0.9982206178457558	2502.9647342783383
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H]([NH+](C)C)C([O-])=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O	-2.4281999999999937	5.759164871656176	29.72771110090219	3	-668.0344739156625	-4.345000000000001	-77.85026427469136	17.55051753408804	0.8092184339250587	524.0	1450.0	0.15560428376031857	-0.6520534855555646	1.151114579068912	1805.7383821331464
CC[C@@H](C)C(=O)c1c(O)c(C)c2oc3c(C)c(O)c(C(=O)[C@H](C)CC)c(O)c3c2c1O	5.482840000000007	27.694948798762496	44.19229467900206	4	-2056.059276891361	-14.911232404481474	-43.53606881802801	45.290990599814094	0.664708535100594	464.0	1340.0	0.1700914460936543	-2.3234749554725704	1.040471781411153	441.96354207569095
CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12	2.245600000000003	47.11552772821301	34.36694402364268	8	1407.6932110729656	7.020833333333329	85.64666666666668	36.62379832648981	0.8144976860695625	842.0	2598.0	0.1620274019200307	7.834995249999982	0.917976942687941	-375.7360607372535
CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O	2.4017	25.99951461304901	18.287066950073896	3	-513.844227376295	12.634238108035472	-43.93801928788853	5.817220841045895	0.6259235602652715	512.4444444444445	1688.0	0.18449958540154016	-2.2679304453103937	0.8517078469226602	-1130.475392104372
Cc1c(O)c(C(=O)CC(C)C)c2oc3c(C(=O)CC(C)C)c(O)c(C)c(O)c3c2c1O	5.482840000000006	27.694948798762496	80.36877368374466	4	-1771.178815944931	-29.465670784257398	-85.39190526349387	34.12495031652961	0.6541556386405444	464.0	1340.0	0.16267645971880254	-4.097123235851776	1.176036956100481	-3297.482094798096
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O[C@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1	-0.7866999999999995	0.0	28.22851544154929	7	648.7142185309762	-20.222222222222225	-49.89418511213383	65.20676832250349	1.1556152887693332	758.0	2038.0	0.18001178755000016	-1.662006861275477	1.0501839237057222	-820.1904021747184
