SMILES	C-001	F04[C-N]	F05[N-O]	B05[N-S]	F05[N-S]	B05[N-F]	F05[N-F]	B05[N-Cl]	B05[N-Br]	B05[O-O]
CC(C)(C)NC(=O)Cn1c(-c2ccccc2)cc2cc(C(C)(C)C(=O)NC(C)(C)C)ccc21	8	8	0	0	0	0	0	0	0	0
O=C(N[C@H]1C[C@@H]1c1ccccc1)N1CCC2(CCc3ncccc3O2)CC1	0	8	0	0	0	0	0	0	0	0
C[C@H](NC(=O)c1c(CN2CCC(N3CCCCC3)CC2)c(-c2cccc(C(F)(F)F)c2)nc2ccccc12)c1ccccc1	1	13	2	0	0	0	0	0	0	0
O=C(O)[C@@H](CC1CCC1)N1C[C@H](CN2CCC(c3cnc4ccccn34)CC2)[C@@H](c2cccc(F)c2)C1	0	12	0	0	0	0	0	0	0	0
CS(=O)(=O)c1ccc(F)cc1C(=O)N1CCC(N(C2CC2)S(=O)(=O)c2cccc(C(F)(F)F)c2)CC1	0	4	2	1	1	1	1	0	0	1
CCOC(=O)C1=C(C)NC(=S)N(C(=O)N(C)C)C1c1cccc([N+](=O)[O-])c1	2	8	0	0	0	0	0	0	0	0
CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(C)noc1CCc1cccc2ccccc12	5	4	0	0	0	0	0	0	0	0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCc2cn(CCOCCOCCOCCOCCOCCn3cc(COC(=O)C4=C(C)NC(C)=C(C(=O)OCC)C4c4c(-c5cccc(Br)c5)noc4C)nn3)nn2)C1c1c(-c2cccc(Br)c2)noc1C	8	16	4	0	0	0	0	0	1	0
CCOC(=O)C1=C(C)NC(=S)N(C(=O)OC)C1c1cccc([N+](=O)[O-])c1	2	6	0	0	0	0	0	0	0	0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1cccc(Oc2ccccc2)c1	4	1	0	0	0	0	0	0	0	0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCCCCCCCCCCOC(=O)C2=C(C)NC(C)=C(C(=O)OCC)C2c2cccc([N+](=O)[O-])c2)C1c1cccc([N+](=O)[O-])c1	6	6	0	0	0	0	0	0	0	0
CCCN[C@@H](C)c1c(-c2cc(C)cc(C)c2)[nH]c2ccc(C(C)(C)C(=O)N3C4CCC3CC4)cc12	6	9	0	0	0	0	0	0	0	0
