SMILES	C-017	H-046	H-050	AATSC1dv	MATS4s	GATS3d	BELd0	nR_3_True_False_None_False	H6m	R7p	RDF030m	JGI2	JGI3	B02[N-O]	PNSA4
CCCCCCCCC1OCC(C)O1	0	15	0	0.7216066481994461	-0.06915837846216928	1.0395893189116108	3.04	0	0.009	0.227	5.356	0.041666666666666685	0.0474537037037037	0	-2.402875047014766
Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1	0	8	0	0.96106342596527	-0.04926082391965481	1.1743578085928619	3.17	1	0.052	0.261	2.205	0.08000000000000004	0.04427083333333333	0	-3.503133027154814
Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2	0	0	2	1.0006368885869565	-0.04229536544974933	1.2326555023923447	3.25	4	0.283	0.452	5.936	0.07285974499089255	0.047896241830065356	1	-12.636887774192811
CCCCCCCCCCCCCCCCCCCc1cc(O)cc(O)c1	0	39	2	0.47728625272763336	0.24532814212592094	0.9094323631951	3.09	1	0.244	0.275	6.88	0.02222222222222223	0.03348214285714285	0	-4.475219991671372
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1	0	6	3	0.7740892036887691	-0.11539919341525633	1.509480184266206	4.03	3	0.251	0.414	15.606	0.10916179337231971	0.052734375	0	-10.944453277237029
CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12	0	7	4	1.2208695652173913	-0.05810384517009121	1.0805290799455354	3.24	1	0.098	0.141	2.562	0.06896551724137935	0.03943452380952381	0	-6.814836631860741
CCCCCOc1ccc2nc3ccc(=O)cc-3oc2c1	0	7	0	1.6580332409972296	0.07129887102823507	0.8080694913281341	3.2	2	0.027	0.208	0.96	0.05734767025089608	0.0282258064516129	0	-8.07674518710922
CCC(C)C1C/C(O)=N\C(CCN)/C(O)=N/C(C(C)CC)/C(O)=N/C(CCN)/C(O)=N/C(Cc2ccccc2)/C(O)=N/C(CC(C)C)/C(O)=N/C(CCN)/C(O)=N/C(C(C)C)/C(O)=N\C(CC(C)C)/C(O)=N/C(CO)C(=O)O1	0	36	16	1.1195564459013743	-0.039432200238780996	1.0985423415759665	3.19	1	1.3	0.649	31.572	0.09224318658280929	0.048891129032258056	1	-21.82748230552638
CC(=O)NC1C(N=C(N)N)C=C(C(=O)O)OC1C(O)C(O)CO	0	0	9	0.4813412655489453	-0.08293402046912131	1.0360656000770256	3.19	0	0.338	0.439	9.488	0.09027777777777782	0.05	1	-17.337545759855153
C=C(C)CCCC(C)CCOC(=O)C(C)C	1	19	0	0.926829268292683	-0.15431225919107175	1.0990675990675989	3.12	0	0.087	0.241	5.306	0.09876543209876548	0.046875	0	-4.13373048666636
