SMILES	SMR_VSA6	C-024	BELi0	RASA	VSA_EState5	GATS2c	SLogP_VSA3	MATS1dv	H-047	SaasC	AATS5dv	Mor08u	HATS2u	ATSC2dv	GATS2s	GATS7se	Mor19m
Cc1ccc(C)cc1	0.0	4	11.58	1.0	0.0	0.9963238595895441	0.0	0.41237113402061837	4	2.6585185185185187	0.047619047619047616	0.96	0.639	-9.18518518518519	0.6455696202531646	0.0	-0.014
COC(=O)C1CC2=CC(=O)CCC2(C)C23OC2CC2(C)C(CCC24CCC(=O)O4)C13	7.109797541277533	0	13.65	0.7436403653413839	-0.20061091572635537	0.8734066377187757	28.59420041361561	0.3814230462275155	5	0.0	2.6	1.379	0.247	28.810000000000002	0.44977445993961757	1.3363645474068635	0.934
O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1	0.0	8	13.64	0.8055826303127815	-0.7075862826424996	0.7323629455265699	4.794537184071822	0.24186676787547046	8	2.755058366185087	2.8193384223918576	1.324	0.238	42.70385611949399	0.5241723577972854	1.0813051729366427	-0.349
CC(C)(C)NCC(O)COc1ccccc1C1CCCC1	13.151638370425493	4	14.54	0.9078529086499745	1.5743071040144454	1.1847519771567903	0.0	0.3119695639449809	9	2.2548048548122956	1.8189655172413792	1.576	0.273	-3.9999999999999982	0.8257981983332172	1.4913157308872755	0.203
CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2	14.09534396535438	8	14.69	0.9768025105992396	1.7355904614932394	1.6998067037080915	13.08951281182515	0.3862334486329288	18	5.504630154530949	4.731573157315732	0.341	0.294	25.39207045516766	0.9200205145453921	1.0592617246847147	-0.141
COc1cc(/C=C/C(=O)OCC2OC(Oc3c(-c4ccc(O)cc4)oc4cc(OC5OC(CO)C(O)C(O)C5O)cc(O)c4c3=O)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)ccc1O	26.93044343481629	9	13.66	0.4938999694939256	-3.6247129971413434	1.0605723692917994	28.478851953072066	0.04746879323412921	32	-2.2005785370700313	5.957703927492447	-7.145	0.237	-61.87168241965969	0.9061827077483954	0.9609111850477211	-1.629
CCCC(=O)OC	7.109797541277533	0	13.64	0.8061444130812382	-0.1226851851851849	1.136783174022496	9.53140013787187	0.3807106598984772	3	0.0	0.05555555555555555	1.529	0.687	12.186851211072666	0.5503166783954961	0.0	0.135
O=C(O)C(c1ccccc1)C1CCCCN1	6.544756405912575	5	14.54	0.7854605096007728	-1.1462037037037036	0.7154699821855586	4.794537184071822	0.16775630252100843	8	0.8975925925925929	2.524390243902439	1.925	0.322	6.706152433425155	0.37558878581566124	0.9780384417237408	0.135
COc1ccc([C@H](CN(C)C)C2(O)CCCCC2)cc1	27.74989791254449	4	14.54	0.9372451545703909	1.038604759805156	1.327112728990004	0.0	0.3117547747177377	15	2.080450942722768	1.4794520547945205	2.641	0.308	-10.52919873245813	0.8427429917266099	0.4163351111856377	0.326
CN1CCC[C@H]1c1cccnc1	13.592428388589765	2	14.55	0.9028648938964263	0.0	1.744857814664907	0.0	0.30259720301214077	8	1.3587962962962965	1.1296296296296295	1.599	0.475	-10.905325443786985	0.9738856982381642	0.23205409028895668	-0.053
