SMILES	SLogP	SLogP_VSA2	ATSC3c	ATSC2c	ATSC4c	SdssC	ATSC1dv	Jhetv	ATSC1p	SLogP_VSA3	observed	predicted
C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@H]2C(=O)CO	0.7520188087787378	1.40243490301815	1.3788245797327094	-1.2990875283708083	0.4257436061212803	0.8922575707432747	1.7108856646216462	-1.3218252944674003	2.099825986461988	0.862987455067476	-4.69	-4.545130434782609
CN1CCCC1c1cccnc1	0.2356452382753003	0.43932278816289994	-0.16929127031018812	-0.5964077432520047	0.4373517062575726	0.08126025185024129	0.23643403149269346	-0.8045618130975007	-0.7302513400632239	-0.7868699715380856	-2.1	-2.5011290890269153
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1	1.7994485602680994	0.7385753322327118	-0.7526492774746735	1.342061371828932	-0.6950534613204717	-2.042076963775881	1.718480047967453	-0.7920791255882336	-0.019586648688723878	1.1427993906313951	-1.83	-2.1715978260869595
ClCC(Cl)CCl	0.4034572464024912	0.07335495657962121	-0.07564715136398169	-0.20224596760129734	0.08777128403144792	0.08126025185024129	-0.8755964132202624	0.8311585529980176	-0.08216833301084027	-0.7868699715380856	-2.01	-1.899598328506269
Cc1ccc(N)cc1	0.031743493931423	-0.915981830297266	-0.33257285744672116	0.3742308758824785	-0.10138819448311316	0.08126025185024129	-0.24120149034595362	0.979646394985692	0.6162003770045504	-0.7868699715380856	-2.39	-2.2445521739130405
Clc1ccccc1	0.6054935771194951	-0.915981830297266	-0.10594708760097625	-0.05783236523710407	0.08067113525748422	0.08126025185024129	-0.8037957119524001	1.2316786781239688	0.03465283604036959	-0.7868699715380856	-1.39	-1.3441443392524517
CNC(C)C(O)c1ccccc1	-0.155790750202469	0.13448863777246864	0.7928300225249061	-0.6102043651772595	-0.44272729045228687	0.08126025185024129	-0.1419902586804914	0.23889596065444293	0.2865187476820977	-0.7868699715380856	-2.22	-2.218518840579709
COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O	0.9592452016027679	1.3064737761166076	-1.3400857717300996	-3.6502070344911774	5.164425235813687	-0.431742576619608	3.2626499208428665	-0.7901341709464694	-1.4531610280791043	0.8530642598262584	-2.89	-2.796521739130431
CCOC(=O)c1ccccc1C(=O)OCC	0.37983870290095045	0.536082812293452	0.1731168933959643	0.6168093457769136	-1.8764648342286632	-1.732408255195893	1.760362763632739	0.4219135521099683	-1.1443886844791025	0.843141064585041	-2.32	-2.5479456521739103
CC12CCC(CC1=O)C2(C)C	0.65190326291711	-0.582110946480227	0.03309365436472748	-0.10339198352508779	-0.004930183071099111	0.9961956052453577	0.8917993821872772	0.04378458922820563	0.49140572389160037	0.038058741764695245	-1.99	-1.9817339443546562
Cc1ccc([N+](=O)[O-])cc1	0.27695512391557514	-0.6317555479212915	-0.16189616527881737	-0.43147851247465796	0.009324587891485239	0.08126025185024129	0.2682615911793905	0.3146029171358937	0.45800645341591534	-0.7868699715380856	-1.87	-1.8100266151173585
CC(Cl)Cl	0.20683663266673274	-0.6367805080575334	-0.14875338752906123	0.08580422241415786	0.08079443994174548	0.08126025185024129	-0.8781151700074354	0.04899240133481288	-0.12813688341403542	-0.7868699715380856	-2.05	-1.9660974226488448
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O	-0.2149875455391341	0.11425019724125392	-3.9231368413522056	3.5172103753893413	3.4053099947532184	-1.409015467353644	1.6952900643375477	-0.36578958043324683	0.1926223727779468	0.862987455067476	-3.09	-2.8158369282891
CCCC(=O)O	-0.49938790534590655	-0.27656605574358556	-0.5286051350697129	1.1478456087918294	0.3311154042385552	-1.1868442785890387	-0.09826727241424583	0.3720765591152174	-0.22195667874196187	0.038058741764695245	-2.71	-2.75323868028107
Nc1ccccc1N	-0.514506781918549	-0.915981830297266	1.0078907557593078	0.32125093898538787	-1.7095333429063309	0.08126025185024129	-0.5294503391037136	0.9538553676314339	1.1759628252339667	-0.7868699715380856	-3.29	-3.050368530020708
CCCCOP(=O)(O)OCCCC	0.8914735210457986	0.1293584162757175	-1.1423682500128045	3.5090603553498854	-0.4125576624489985	0.08126025185024129	-1.5459021437883287	1.108481206733698	-4.8989448176239705	1.5552491585408783	-2.38	-2.1850652173913017
